PMID,domain,Study_Type,isVAL,isREP,isAPP
STUDY-0774,Mentioning errors,Causal,0,1,1
STUDY-0774,Missing data,Causal,0,1,2
STUDY-0774,Random error,Causal,0,0,3
STUDY-0774,Selection bias,Causal,1,1,3
STUDY-0880,Confounding bias,Causal,0,0,2
STUDY-0880,Measurement bias,Causal,0,0,3
STUDY-0880,Mentioning errors,Causal,0,0,1
STUDY-0880,Missing data,Causal,0,2,2
STUDY-0880,Selection bias,Causal,0,1,2
STUDY-0914,Conflating task,Descriptive,1,0,1
STUDY-0914,Measurement bias,Descriptive,0,0,0
STUDY-0914,Mentioning errors,Descriptive,0,0,1
STUDY-0914,Missing data,Descriptive,0,0,1
STUDY-0914,Selection bias,Descriptive,0,0,1
STUDY-0104,Confounding bias,Causal,1,0,2
STUDY-0104,Measurement bias,Causal,2,0,5
STUDY-0104,Mentioning errors,Causal,0,0,1
STUDY-0104,Missing data,Causal,0,0,2
STUDY-0104,Random error,Causal,1,0,3
STUDY-0104,Selection bias,Causal,0,0,2
STUDY-0537,Conflating task,Descriptive,0,0,1
STUDY-0537,Measurement bias,Descriptive,0,0,0
STUDY-0537,Mentioning errors,Descriptive,0,0,1
STUDY-0537,Missing data,Descriptive,0,0,1
STUDY-0537,Selection bias,Descriptive,0,0,1
STUDY-0658,Confounding bias,Causal,1,0,2
STUDY-0658,Measurement bias,Causal,1,0,5
STUDY-0658,Mentioning errors,Causal,0,0,1
STUDY-0658,Missing data,Causal,2,0,4
STUDY-0658,Random error,Causal,0,1,1
STUDY-0658,Selection bias,Causal,1,2,3
STUDY-0737,Conflating task,Descriptive,1,0,1
STUDY-0737,Measurement bias,Descriptive,0,0,0
STUDY-0737,Mentioning errors,Descriptive,0,0,1
STUDY-0737,Missing data,Descriptive,0,0,1
STUDY-0737,Selection bias,Descriptive,0,0,1
STUDY-0220,Confounding bias,Causal,0,0,1
STUDY-0220,Measurement bias,Causal,1,0,4
STUDY-0220,Mentioning errors,Causal,0,0,1
STUDY-0220,Missing data,Causal,0,1,2
STUDY-0220,Random error,Causal,0,1,1
STUDY-0220,Selection bias,Causal,1,2,3
STUDY-0994,Confounding bias,Causal,1,0,2
STUDY-0994,Measurement bias,Causal,0,0,5
STUDY-0994,Mentioning errors,Causal,0,0,1
STUDY-0994,Missing data,Causal,0,0,2
STUDY-0994,Random error,Causal,0,1,1
STUDY-0994,Selection bias,Causal,0,1,2
STUDY-0499,Confounding bias,Causal,1,0,1
STUDY-0499,Measurement bias,Causal,0,0,4
STUDY-0499,Mentioning errors,Causal,0,0,1
STUDY-0499,Missing data,Causal,1,0,3
STUDY-0499,Random error,Causal,0,0,3
STUDY-0499,Selection bias,Causal,2,1,4
STUDY-0350,Conflating task,Descriptive,1,0,1
STUDY-0350,Measurement bias,Descriptive,0,0,1
STUDY-0350,Mentioning errors,Descriptive,0,0,1
STUDY-0350,Missing data,Descriptive,0,1,1
STUDY-0350,Random error,Descriptive,1,0,3
STUDY-0350,Selection bias,Descriptive,1,0,1
STUDY-0354,Conflating task,Descriptive,0,0,1
STUDY-0354,Measurement bias,Descriptive,0,0,1
STUDY-0354,Mentioning errors,Descriptive,0,1,1
STUDY-0354,Missing data,Descriptive,0,0,1
STUDY-0354,Random error,Descriptive,2,0,3
STUDY-0354,Selection bias,Descriptive,1,0,1
STUDY-0839,Confounding bias,Causal,1,0,1
STUDY-0839,Measurement bias,Causal,1,0,3
STUDY-0839,Mentioning errors,Causal,0,0,1
STUDY-0839,Missing data,Causal,0,1,2
STUDY-0839,Selection bias,Causal,0,1,2
STUDY-0750,Confounding bias,Causal,1,0,1
STUDY-0750,Measurement bias,Causal,1,0,4
STUDY-0750,Mentioning errors,Causal,0,1,1
STUDY-0750,Missing data,Causal,0,1,2
STUDY-0750,Random error,Causal,0,1,1
STUDY-0750,Selection bias,Causal,1,1,3
STUDY-0259,Confounding bias,Causal,1,0,1
STUDY-0259,Measurement bias,Causal,0,0,5
STUDY-0259,Mentioning errors,Causal,0,0,1
STUDY-0259,Missing data,Causal,0,2,2
STUDY-0259,Random error,Causal,0,1,1
STUDY-0259,Selection bias,Causal,1,2,3
STUDY-0431,Confounding bias,Causal,0,0,1
STUDY-0431,Measurement bias,Causal,1,0,3
STUDY-0431,Mentioning errors,Causal,0,1,1
STUDY-0431,Missing data,Causal,0,1,2
STUDY-0431,Random error,Causal,0,1,1
STUDY-0431,Selection bias,Causal,1,0,3
STUDY-0821,Conflating task,Descriptive,1,0,1
STUDY-0821,Measurement bias,Descriptive,0,0,1
STUDY-0821,Mentioning errors,Descriptive,0,0,1
STUDY-0821,Missing data,Descriptive,0,1,1
STUDY-0821,Selection bias,Descriptive,1,0,1
STUDY-1022,Confounding bias,Causal,0,0,1
STUDY-1022,Measurement bias,Causal,2,0,4
STUDY-1022,Mentioning errors,Causal,0,0,1
STUDY-1022,Missing data,Causal,0,0,2
STUDY-1022,Random error,Causal,0,1,1
STUDY-1022,Selection bias,Causal,0,1,3
STUDY-0145,Conflating task,Descriptive,0,0,1
STUDY-0145,Measurement bias,Descriptive,0,0,1
STUDY-0145,Mentioning errors,Descriptive,0,1,1
STUDY-0145,Missing data,Descriptive,0,0,1
STUDY-0145,Selection bias,Descriptive,0,0,1
STUDY-0385,Confounding bias,Causal,0,0,1
STUDY-0385,Measurement bias,Causal,1,0,4
STUDY-0385,Mentioning errors,Causal,0,1,1
STUDY-0385,Missing data,Causal,0,0,2
STUDY-0385,Random error,Causal,1,0,3
STUDY-0385,Selection bias,Causal,1,1,3
STUDY-0397,Conflating task,Descriptive,0,0,1
STUDY-0397,Measurement bias,Descriptive,1,0,1
STUDY-0397,Mentioning errors,Descriptive,0,0,1
STUDY-0397,Missing data,Descriptive,1,0,2
STUDY-0397,Random error,Descriptive,0,1,1
STUDY-0397,Selection bias,Descriptive,1,0,1
STUDY-0532,Confounding bias,Causal,1,0,1
STUDY-0532,Measurement bias,Causal,1,0,4
STUDY-0532,Mentioning errors,Causal,0,1,1
STUDY-0532,Missing data,Causal,1,0,3
STUDY-0532,Random error,Causal,0,0,3
STUDY-0532,Selection bias,Causal,1,0,3
STUDY-0284,Conflating task,Descriptive,1,0,1
STUDY-0284,Measurement bias,Descriptive,1,0,1
STUDY-0284,Mentioning errors,Descriptive,0,0,1
STUDY-0284,Missing data,Descriptive,0,0,1
STUDY-0284,Random error,Descriptive,0,1,1
STUDY-0284,Selection bias,Descriptive,1,0,1
STUDY-0970,Conflating task,Descriptive,0,0,1
STUDY-0970,Measurement bias,Descriptive,0,0,1
STUDY-0970,Mentioning errors,Descriptive,0,0,1
STUDY-0970,Missing data,Descriptive,1,0,2
STUDY-0970,Random error,Descriptive,0,1,1
STUDY-0970,Selection bias,Descriptive,1,0,1
STUDY-0304,Confounding bias,Causal,1,0,1
STUDY-0304,Measurement bias,Causal,1,0,4
STUDY-0304,Mentioning errors,Causal,0,0,1
STUDY-0304,Missing data,Causal,0,0,2
STUDY-0304,Random error,Causal,1,0,3
STUDY-0304,Selection bias,Causal,1,1,2
STUDY-0487,Conflating task,Descriptive,1,0,1
STUDY-0487,Measurement bias,Descriptive,0,0,1
STUDY-0487,Mentioning errors,Descriptive,0,0,1
STUDY-0487,Missing data,Descriptive,0,0,1
STUDY-0487,Random error,Descriptive,1,0,3
STUDY-0487,Selection bias,Descriptive,1,0,1
STUDY-0362,Confounding bias,Causal,1,0,2
STUDY-0362,Measurement bias,Causal,1,0,5
STUDY-0362,Mentioning errors,Causal,0,0,1
STUDY-0362,Missing data,Causal,1,0,3
STUDY-0362,Random error,Causal,0,1,1
STUDY-0362,Selection bias,Causal,0,1,2
STUDY-0731,Conflating task,Descriptive,0,0,1
STUDY-0731,Measurement bias,Descriptive,1,0,1
STUDY-0731,Mentioning errors,Descriptive,0,0,1
STUDY-0731,Missing data,Descriptive,0,0,1
STUDY-0731,Random error,Descriptive,0,1,1
STUDY-0731,Selection bias,Descriptive,1,0,1
STUDY-0322,Confounding bias,Causal,1,0,2
STUDY-0322,Measurement bias,Causal,1,0,4
STUDY-0322,Mentioning errors,Causal,0,0,1
STUDY-0322,Missing data,Causal,0,0,2
STUDY-0322,Random error,Causal,1,0,3
STUDY-0322,Selection bias,Causal,1,1,2
STUDY-0159,Confounding bias,Causal,0,0,1
STUDY-0159,Measurement bias,Causal,0,0,4
STUDY-0159,Mentioning errors,Causal,0,1,1
STUDY-0159,Missing data,Causal,0,2,2
STUDY-0159,Random error,Causal,0,1,1
STUDY-0159,Selection bias,Causal,1,2,3
STUDY-0419,Confounding bias,Causal,1,0,2
STUDY-0419,Measurement bias,Causal,3,0,5
STUDY-0419,Mentioning errors,Causal,0,1,1
STUDY-0419,Missing data,Causal,0,0,2
STUDY-0419,Selection bias,Causal,0,0,1
STUDY-0333,Conflating task,Descriptive,0,0,1
STUDY-0333,Measurement bias,Descriptive,0,0,1
STUDY-0333,Mentioning errors,Descriptive,0,0,1
STUDY-0333,Missing data,Descriptive,1,0,2
STUDY-0333,Selection bias,Descriptive,1,0,1
STUDY-0046,Confounding bias,Causal,0,0,2
STUDY-0046,Measurement bias,Causal,0,0,4
STUDY-0046,Mentioning errors,Causal,0,0,1
STUDY-0046,Missing data,Causal,0,2,2
STUDY-0046,Random error,Causal,0,1,1
STUDY-0046,Selection bias,Causal,1,2,3
STUDY-0355,Confounding bias,Causal,0,0,1
STUDY-0355,Measurement bias,Causal,2,0,4
STUDY-0355,Mentioning errors,Causal,0,0,1
STUDY-0355,Missing data,Causal,0,0,2
STUDY-0355,Random error,Causal,0,1,1
STUDY-0355,Selection bias,Causal,1,1,3
STUDY-0845,Confounding bias,Causal,1,0,1
STUDY-0845,Measurement bias,Causal,1,0,4
STUDY-0845,Mentioning errors,Causal,0,0,1
STUDY-0845,Missing data,Causal,0,1,2
STUDY-0845,Random error,Causal,0,1,1
STUDY-0845,Selection bias,Causal,1,1,2
STUDY-0555,Confounding bias,Causal,1,0,2
STUDY-0555,Measurement bias,Causal,2,0,5
STUDY-0555,Mentioning errors,Causal,0,0,1
STUDY-0555,Missing data,Causal,0,0,4
STUDY-0555,Random error,Causal,0,1,1
STUDY-0555,Selection bias,Causal,0,0,4
STUDY-0945,Confounding bias,Causal,0,0,2
STUDY-0945,Measurement bias,Causal,1,0,4
STUDY-0945,Mentioning errors,Causal,0,0,1
STUDY-0945,Missing data,Causal,2,0,4
STUDY-0945,Selection bias,Causal,1,1,2
STUDY-0365,Confounding bias,Causal,1,0,2
STUDY-0365,Measurement bias,Causal,3,0,4
STUDY-0365,Mentioning errors,Causal,0,0,1
STUDY-0365,Missing data,Causal,0,0,2
STUDY-0365,Random error,Causal,0,1,1
STUDY-0365,Selection bias,Causal,1,2,3
STUDY-0023,Confounding bias,Causal,1,0,1
STUDY-0023,Measurement bias,Causal,2,0,4
STUDY-0023,Mentioning errors,Causal,0,1,1
STUDY-0023,Missing data,Causal,0,0,2
STUDY-0023,Random error,Causal,0,1,1
STUDY-0023,Selection bias,Causal,1,1,2
STUDY-0817,Confounding bias,Causal,1,0,2
STUDY-0817,Measurement bias,Causal,1,0,5
STUDY-0817,Mentioning errors,Causal,0,0,1
STUDY-0817,Missing data,Causal,0,0,2
STUDY-0817,Random error,Causal,0,0,3
STUDY-0817,Selection bias,Causal,1,1,2
STUDY-0170,Confounding bias,Causal,1,0,2
STUDY-0170,Measurement bias,Causal,2,0,5
STUDY-0170,Mentioning errors,Causal,0,0,1
STUDY-0170,Missing data,Causal,0,1,2
STUDY-0170,Random error,Causal,0,1,1
STUDY-0170,Selection bias,Causal,1,1,3
STUDY-0442,Confounding bias,Causal,1,0,1
STUDY-0442,Measurement bias,Causal,0,0,5
STUDY-0442,Mentioning errors,Causal,0,0,1
STUDY-0442,Missing data,Causal,0,0,2
STUDY-0442,Random error,Causal,0,1,1
STUDY-0442,Selection bias,Causal,1,1,2
STUDY-0026,Confounding bias,Causal,1,0,1
STUDY-0026,Measurement bias,Causal,0,0,5
STUDY-0026,Mentioning errors,Causal,0,1,1
STUDY-0026,Missing data,Causal,0,0,2
STUDY-0026,Random error,Causal,0,1,1
STUDY-0026,Selection bias,Causal,1,1,2
STUDY-0048,Confounding bias,Causal,1,0,2
STUDY-0048,Measurement bias,Causal,3,0,5
STUDY-0048,Mentioning errors,Causal,0,0,1
STUDY-0048,Missing data,Causal,0,0,2
STUDY-0048,Selection bias,Causal,0,1,2
STUDY-0326,Confounding bias,Causal,1,0,2
STUDY-0326,Measurement bias,Causal,3,0,4
STUDY-0326,Mentioning errors,Causal,0,1,1
STUDY-0326,Missing data,Causal,0,0,2
STUDY-0326,Selection bias,Causal,0,0,1
STUDY-0144,Confounding bias,Causal,1,0,1
STUDY-0144,Measurement bias,Causal,2,0,5
STUDY-0144,Mentioning errors,Causal,0,1,1
STUDY-0144,Missing data,Causal,0,2,2
STUDY-0144,Random error,Causal,2,0,3
STUDY-0144,Selection bias,Causal,1,1,2
STUDY-0045,Conflating task,Descriptive,1,0,1
STUDY-0045,Measurement bias,Descriptive,0,0,1
STUDY-0045,Mentioning errors,Descriptive,0,1,1
STUDY-0045,Missing data,Descriptive,0,0,1
STUDY-0045,Selection bias,Descriptive,0,0,1
STUDY-0234,Conflating task,Descriptive,0,0,1
STUDY-0234,Measurement bias,Descriptive,0,0,1
STUDY-0234,Mentioning errors,Descriptive,0,1,1
STUDY-0234,Missing data,Descriptive,0,1,1
STUDY-0234,Random error,Descriptive,1,0,3
STUDY-0234,Selection bias,Descriptive,1,0,1
STUDY-0788,Confounding bias,Causal,1,0,1
STUDY-0788,Measurement bias,Causal,1,0,3
STUDY-0788,Mentioning errors,Causal,0,0,1
STUDY-0788,Missing data,Causal,0,2,2
STUDY-0788,Random error,Causal,0,1,1
STUDY-0788,Selection bias,Causal,1,2,3
STUDY-0521,Confounding bias,Causal,1,0,2
STUDY-0521,Measurement bias,Causal,2,0,4
STUDY-0521,Mentioning errors,Causal,0,0,1
STUDY-0521,Missing data,Causal,1,0,3
STUDY-0521,Selection bias,Causal,0,1,2
STUDY-0192,Confounding bias,Causal,1,0,2
STUDY-0192,Measurement bias,Causal,3,0,4
STUDY-0192,Mentioning errors,Causal,0,0,1
STUDY-0192,Missing data,Causal,0,0,2
STUDY-0192,Random error,Causal,1,0,3
STUDY-0192,Selection bias,Causal,1,1,2
STUDY-0049,Confounding bias,Causal,1,0,1
STUDY-0049,Measurement bias,Causal,2,0,5
STUDY-0049,Mentioning errors,Causal,0,0,1
STUDY-0049,Missing data,Causal,0,2,2
STUDY-0049,Random error,Causal,1,0,3
STUDY-0049,Selection bias,Causal,1,1,2
STUDY-0012,Conflating task,Descriptive,1,0,1
STUDY-0012,Measurement bias,Descriptive,0,0,1
STUDY-0012,Mentioning errors,Descriptive,0,0,1
STUDY-0012,Missing data,Descriptive,1,0,2
STUDY-0012,Random error,Descriptive,2,0,3
STUDY-0012,Selection bias,Descriptive,1,0,1
STUDY-0141,Confounding bias,Causal,1,0,2
STUDY-0141,Measurement bias,Causal,1,0,4
STUDY-0141,Mentioning errors,Causal,0,0,1
STUDY-0141,Missing data,Causal,2,0,4
STUDY-0141,Random error,Causal,0,1,1
STUDY-0141,Selection bias,Causal,1,1,2
STUDY-0671,Confounding bias,Causal,1,0,2
STUDY-0671,Measurement bias,Causal,0,0,4
STUDY-0671,Mentioning errors,Causal,0,0,1
STUDY-0671,Missing data,Causal,0,0,2
STUDY-0671,Random error,Causal,0,1,1
STUDY-0671,Selection bias,Causal,1,2,3
STUDY-0924,Conflating task,Descriptive,0,0,1
STUDY-0924,Measurement bias,Descriptive,0,0,1
STUDY-0924,Mentioning errors,Descriptive,0,0,1
STUDY-0924,Missing data,Descriptive,0,0,1
STUDY-0924,Random error,Descriptive,0,0,3
STUDY-0924,Selection bias,Descriptive,1,0,1
STUDY-0182,Confounding bias,Causal,1,0,1
STUDY-0182,Measurement bias,Causal,1,0,5
STUDY-0182,Mentioning errors,Causal,0,1,1
STUDY-0182,Missing data,Causal,0,2,2
STUDY-0182,Random error,Causal,0,1,1
STUDY-0182,Selection bias,Causal,1,1,2
STUDY-0597,Confounding bias,Causal,1,0,2
STUDY-0597,Measurement bias,Causal,1,0,5
STUDY-0597,Mentioning errors,Causal,0,0,1
STUDY-0597,Missing data,Causal,1,1,3
STUDY-0597,Random error,Causal,0,1,1
STUDY-0597,Selection bias,Causal,1,1,2
STUDY-0149,Confounding bias,Causal,1,0,1
STUDY-0149,Measurement bias,Causal,1,0,4
STUDY-0149,Mentioning errors,Causal,0,0,1
STUDY-0149,Missing data,Causal,0,0,2
STUDY-0149,Random error,Causal,0,1,1
STUDY-0149,Selection bias,Causal,1,1,2
STUDY-0256,Confounding bias,Causal,1,0,2
STUDY-0256,Measurement bias,Causal,0,0,4
STUDY-0256,Mentioning errors,Causal,0,0,1
STUDY-0256,Missing data,Causal,0,0,2
STUDY-0256,Selection bias,Causal,1,1,3
STUDY-0157,Confounding bias,Causal,1,0,2
STUDY-0157,Measurement bias,Causal,2,0,4
STUDY-0157,Mentioning errors,Causal,0,0,1
STUDY-0157,Missing data,Causal,1,0,3
STUDY-0157,Random error,Causal,0,1,1
STUDY-0157,Selection bias,Causal,1,1,3
STUDY-0972,Confounding bias,Causal,1,0,2
STUDY-0972,Measurement bias,Causal,2,0,4
STUDY-0972,Mentioning errors,Causal,0,0,1
STUDY-0972,Missing data,Causal,1,1,3
STUDY-0972,Random error,Causal,0,1,1
STUDY-0972,Selection bias,Causal,1,1,2
STUDY-0766,Conflating task,Descriptive,1,0,1
STUDY-0766,Measurement bias,Descriptive,1,0,1
STUDY-0766,Mentioning errors,Descriptive,0,0,1
STUDY-0766,Missing data,Descriptive,0,1,1
STUDY-0766,Random error,Descriptive,0,1,1
STUDY-0766,Selection bias,Descriptive,1,0,1
STUDY-0257,Confounding bias,Causal,0,0,2
STUDY-0257,Measurement bias,Causal,3,0,4
STUDY-0257,Mentioning errors,Causal,0,0,1
STUDY-0257,Missing data,Causal,0,2,2
STUDY-0257,Random error,Causal,0,1,1
STUDY-0257,Selection bias,Causal,1,1,2
STUDY-0819,Confounding bias,Causal,1,0,2
STUDY-0819,Measurement bias,Causal,1,0,4
STUDY-0819,Mentioning errors,Causal,0,0,1
STUDY-0819,Missing data,Causal,0,0,2
STUDY-0819,Random error,Causal,0,1,1
STUDY-0819,Selection bias,Causal,1,1,2
STUDY-0611,Confounding bias,Causal,1,0,2
STUDY-0611,Measurement bias,Causal,2,0,5
STUDY-0611,Mentioning errors,Causal,0,0,1
STUDY-0611,Missing data,Causal,0,1,2
STUDY-0611,Random error,Causal,1,0,3
STUDY-0611,Selection bias,Causal,1,1,2
STUDY-0942,Confounding bias,Causal,1,0,2
STUDY-0942,Measurement bias,Causal,0,0,4
STUDY-0942,Mentioning errors,Causal,0,0,1
STUDY-0942,Missing data,Causal,0,1,2
STUDY-0942,Random error,Causal,1,0,3
STUDY-0942,Selection bias,Causal,1,1,2
STUDY-0492,Conflating task,Descriptive,1,0,1
STUDY-0492,Measurement bias,Descriptive,1,0,1
STUDY-0492,Mentioning errors,Descriptive,0,1,1
STUDY-0492,Missing data,Descriptive,0,0,1
STUDY-0492,Selection bias,Descriptive,0,0,1
STUDY-0739,Confounding bias,Causal,1,0,1
STUDY-0739,Measurement bias,Causal,2,0,5
STUDY-0739,Mentioning errors,Causal,0,1,1
STUDY-0739,Missing data,Causal,0,1,2
STUDY-0739,Random error,Causal,0,1,1
STUDY-0739,Selection bias,Causal,1,2,3
STUDY-0306,Confounding bias,Causal,0,0,2
STUDY-0306,Measurement bias,Causal,2,0,5
STUDY-0306,Mentioning errors,Causal,0,0,1
STUDY-0306,Missing data,Causal,1,1,3
STUDY-0306,Selection bias,Causal,1,1,2
STUDY-0112,Confounding bias,Causal,1,0,2
STUDY-0112,Measurement bias,Causal,2,0,4
STUDY-0112,Mentioning errors,Causal,0,0,1
STUDY-0112,Missing data,Causal,0,2,2
STUDY-0112,Random error,Causal,0,1,1
STUDY-0112,Selection bias,Causal,1,1,2
STUDY-0613,Confounding bias,Causal,1,0,2
STUDY-0613,Measurement bias,Causal,3,0,5
STUDY-0613,Mentioning errors,Causal,0,1,1
STUDY-0613,Missing data,Causal,0,1,2
STUDY-0613,Random error,Causal,0,1,1
STUDY-0613,Selection bias,Causal,1,1,2
STUDY-0522,Confounding bias,Causal,1,0,1
STUDY-0522,Measurement bias,Causal,1,0,4
STUDY-0522,Mentioning errors,Causal,0,1,1
STUDY-0522,Missing data,Causal,0,2,2
STUDY-0522,Random error,Causal,1,0,3
STUDY-0522,Selection bias,Causal,1,1,2
STUDY-0792,Confounding bias,Causal,0,0,1
STUDY-0792,Measurement bias,Causal,2,0,5
STUDY-0792,Mentioning errors,Causal,0,0,1
STUDY-0792,Missing data,Causal,0,1,2
STUDY-0792,Selection bias,Causal,0,0,1
STUDY-0248,Confounding bias,Causal,0,0,1
STUDY-0248,Measurement bias,Causal,0,0,4
STUDY-0248,Mentioning errors,Causal,0,1,1
STUDY-0248,Missing data,Causal,0,1,2
STUDY-0248,Random error,Causal,1,0,3
STUDY-0248,Selection bias,Causal,1,1,3
STUDY-0189,Confounding bias,Causal,1,0,3
STUDY-0189,Measurement bias,Causal,3,0,5
STUDY-0189,Mentioning errors,Causal,0,0,1
STUDY-0189,Missing data,Causal,0,0,2
STUDY-0189,Random error,Causal,1,0,3
STUDY-0189,Selection bias,Causal,0,1,2
STUDY-0701,Conflating task,Descriptive,0,0,1
STUDY-0701,Measurement bias,Descriptive,0,0,1
STUDY-0701,Mentioning errors,Descriptive,0,1,1
STUDY-0701,Missing data,Descriptive,0,0,1
STUDY-0701,Random error,Descriptive,0,1,1
STUDY-0701,Selection bias,Descriptive,1,0,1
STUDY-0040,Confounding bias,Causal,1,0,2
STUDY-0040,Measurement bias,Causal,0,0,4
STUDY-0040,Mentioning errors,Causal,0,0,1
STUDY-0040,Missing data,Causal,1,0,3
STUDY-0040,Random error,Causal,0,0,3
STUDY-0040,Selection bias,Causal,2,1,4
STUDY-0402,Conflating task,Descriptive,1,0,1
STUDY-0402,Measurement bias,Descriptive,0,0,1
STUDY-0402,Mentioning errors,Descriptive,0,0,1
STUDY-0402,Missing data,Descriptive,0,0,1
STUDY-0402,Random error,Descriptive,1,0,3
STUDY-0402,Selection bias,Descriptive,1,0,1
STUDY-0977,Confounding bias,Causal,1,0,1
STUDY-0977,Measurement bias,Causal,1,0,4
STUDY-0977,Mentioning errors,Causal,0,1,1
STUDY-0977,Missing data,Causal,0,1,2
STUDY-0977,Random error,Causal,0,1,1
STUDY-0977,Selection bias,Causal,1,2,3
STUDY-0429,Confounding bias,Causal,0,0,1
STUDY-0429,Measurement bias,Causal,0,0,5
STUDY-0429,Mentioning errors,Causal,0,1,1
STUDY-0429,Missing data,Causal,0,0,3
STUDY-0429,Random error,Causal,0,0,3
STUDY-0429,Selection bias,Causal,1,1,4
STUDY-0589,Confounding bias,Causal,0,0,2
STUDY-0589,Measurement bias,Causal,1,0,5
STUDY-0589,Mentioning errors,Causal,0,1,1
STUDY-0589,Missing data,Causal,1,0,3
STUDY-0589,Random error,Causal,0,1,1
STUDY-0589,Selection bias,Causal,1,1,2
STUDY-0933,Confounding bias,Causal,1,0,2
STUDY-0933,Measurement bias,Causal,2,0,4
STUDY-0933,Mentioning errors,Causal,0,0,1
STUDY-0933,Missing data,Causal,0,0,2
STUDY-0933,Random error,Causal,0,1,1
STUDY-0933,Selection bias,Causal,1,1,2
STUDY-0330,Confounding bias,Causal,1,0,2
STUDY-0330,Measurement bias,Causal,1,0,4
STUDY-0330,Mentioning errors,Causal,0,0,1
STUDY-0330,Missing data,Causal,2,0,4
STUDY-0330,Random error,Causal,0,0,3
STUDY-0330,Selection bias,Causal,1,1,2
STUDY-0922,Confounding bias,Causal,1,0,1
STUDY-0922,Measurement bias,Causal,0,0,4
STUDY-0922,Mentioning errors,Causal,0,0,1
STUDY-0922,Missing data,Causal,0,2,2
STUDY-0922,Random error,Causal,0,1,1
STUDY-0922,Selection bias,Causal,1,1,2
STUDY-0600,Confounding bias,Causal,1,0,1
STUDY-0600,Measurement bias,Causal,2,0,5
