"PMID","domain","Study_Type","state"
"STUDY-0144","Random error","Causal","VAL"
"STUDY-0045","Random error","Descriptive","NA"
"STUDY-0234","Random error","Descriptive","VAL"
"STUDY-0788","Random error","Causal","REP"
"STUDY-0521","Random error","Causal","NA"
"STUDY-0192","Random error","Causal","VAL"
"STUDY-0049","Random error","Causal","VAL"
"STUDY-0012","Random error","Descriptive","VAL"
"STUDY-0141","Random error","Causal","REP"
"STUDY-0671","Random error","Causal","REP"
"STUDY-0924","Random error","Descriptive","OK"
"STUDY-0182","Random error","Causal","REP"
"STUDY-0597","Random error","Causal","REP"
"STUDY-0149","Random error","Causal","REP"
"STUDY-0256","Random error","Causal","NA"
"STUDY-0157","Random error","Causal","REP"
"STUDY-0972","Random error","Causal","REP"
"STUDY-0766","Random error","Descriptive","REP"
"STUDY-0257","Random error","Causal","REP"
"STUDY-0819","Random error","Causal","REP"
"STUDY-0611","Random error","Causal","VAL"
"STUDY-0942","Random error","Causal","VAL"
"STUDY-0492","Random error","Descriptive","NA"
"STUDY-0739","Random error","Causal","REP"
"STUDY-0306","Random error","Causal","NA"
"STUDY-0112","Random error","Causal","REP"
"STUDY-0613","Random error","Causal","REP"
"STUDY-0522","Random error","Causal","VAL"
"STUDY-0792","Random error","Causal","NA"
"STUDY-0248","Random error","Causal","VAL"
"STUDY-0189","Random error","Causal","VAL"
"STUDY-0701","Random error","Descriptive","REP"
"STUDY-0040","Random error","Causal","OK"
"STUDY-0402","Random error","Descriptive","VAL"
"STUDY-0977","Random error","Causal","REP"
"STUDY-0429","Random error","Causal","OK"
"STUDY-0589","Random error","Causal","REP"
"STUDY-0933","Random error","Causal","REP"
"STUDY-0330","Random error","Causal","OK"
"STUDY-0922","Random error","Causal","REP"
"STUDY-0600","Random error","Causal","VAL"
"STUDY-0119","Random error","Causal","REP"
"STUDY-0251","Random error","Causal","REP"
"STUDY-0932","Random error","Causal","REP"
"STUDY-0749","Random error","Descriptive","NA"
"STUDY-0517","Random error","Causal","REP"
"STUDY-0210","Random error","Descriptive","REP"
"STUDY-0923","Random error","Causal","REP"
"STUDY-0214","Random error","Causal","NA"
"STUDY-0565","Random error","Causal","VAL"
"STUDY-0899","Random error","Causal","VAL"
"STUDY-0094","Random error","Causal","REP"
"STUDY-0809","Random error","Causal","VAL"
"STUDY-0793","Random error","Causal","VAL"
"STUDY-0387","Random error","Descriptive","VAL"
"STUDY-0700","Random error","Causal","VAL"
"STUDY-0805","Random error","Causal","OK"
"STUDY-0780","Random error","Causal","NA"
"STUDY-0184","Random error","Causal","VAL"
"STUDY-0205","Random error","Causal","REP"
"STUDY-0740","Random error","Causal","VAL"
"STUDY-0930","Random error","Causal","VAL"
"STUDY-1026","Random error","Descriptive","NA"
"STUDY-0649","Random error","Causal","NA"
"STUDY-0133","Random error","Causal","REP"
"STUDY-0542","Random error","Causal","REP"
"STUDY-0337","Random error","Causal","REP"
"STUDY-0702","Random error","Descriptive","VAL"
"STUDY-0541","Random error","Descriptive","NA"
"STUDY-0840","Random error","Causal","NA"
"STUDY-0447","Random error","Causal","VAL"
"STUDY-0634","Random error","Descriptive","REP"
"STUDY-0037","Random error","Causal","VAL"
"STUDY-1021","Random error","Descriptive","VAL"
"STUDY-0268","Random error","Causal","NA"
"STUDY-0943","Random error","Descriptive","REP"
"STUDY-0760","Random error","Descriptive","REP"
"STUDY-0549","Random error","Causal","VAL"
"STUDY-0161","Random error","Causal","REP"
"STUDY-0064","Random error","Causal","REP"
"STUDY-0952","Random error","Descriptive","OK"
"STUDY-0471","Random error","Causal","REP"
"STUDY-0135","Random error","Causal","REP"
"STUDY-0963","Random error","Causal","REP"
"STUDY-0494","Random error","Causal","OK"
"STUDY-0577","Random error","Causal","OK"
"STUDY-0598","Random error","Causal","VAL"
"STUDY-0093","Random error","Causal","NA"
"STUDY-0006","Random error","Causal","REP"
"STUDY-0698","Random error","Causal","REP"
"STUDY-0603","Random error","Causal","OK"
"STUDY-1001","Random error","Causal","REP"
"STUDY-0423","Random error","Causal","REP"
"STUDY-0086","Random error","Descriptive","REP"
"STUDY-0207","Random error","Causal","REP"
"STUDY-0109","Random error","Causal","VAL"
"STUDY-1016","Random error","Descriptive","NA"
"STUDY-0473","Random error","Descriptive","OK"
"STUDY-0295","Random error","Causal","VAL"
"STUDY-0516","Random error","Causal","NA"
"STUDY-0803","Random error","Descriptive","NA"
"STUDY-0307","Random error","Causal","OK"
"STUDY-0560","Random error","Descriptive","NA"
"STUDY-0132","Random error","Causal","NA"
"STUDY-0852","Random error","Causal","REP"
"STUDY-0231","Random error","Causal","REP"
"STUDY-0595","Random error","Causal","REP"
"STUDY-0834","Random error","Causal","OK"
"STUDY-0865","Random error","Descriptive","NA"
"STUDY-0339","Random error","Descriptive","NA"
"STUDY-0773","Random error","Descriptive","VAL"
"STUDY-0744","Random error","Causal","REP"
"STUDY-0475","Random error","Causal","NA"
"STUDY-0853","Random error","Causal","NA"
"STUDY-0403","Random error","Causal","NA"
"STUDY-0628","Random error","Causal","REP"
"STUDY-0653","Random error","Causal","VAL"
"STUDY-0005","Random error","Causal","REP"
"STUDY-0162","Random error","Causal","NA"
"STUDY-0728","Random error","Causal","VAL"
"STUDY-0590","Random error","Causal","VAL"
"STUDY-0440","Random error","Descriptive","NA"
"STUDY-0450","Random error","Causal","VAL"
"STUDY-0416","Random error","Causal","REP"
"STUDY-0557","Random error","Causal","REP"
"STUDY-0352","Random error","Causal","VAL"
"STUDY-0468","Random error","Descriptive","REP"
"STUDY-0665","Random error","Causal","NA"
"STUDY-0988","Random error","Causal","REP"
"STUDY-0252","Random error","Causal","VAL"
"STUDY-0986","Random error","Causal","REP"
"STUDY-0781","Random error","Causal","REP"
"STUDY-0360","Random error","Causal","OK"
"STUDY-1003","Random error","Descriptive","REP"
"STUDY-0062","Random error","Causal","VAL"
"STUDY-0630","Random error","Causal","NA"
"STUDY-0335","Random error","Causal","NA"
"STUDY-0096","Random error","Causal","REP"
"STUDY-0778","Random error","Descriptive","NA"
"STUDY-0878","Random error","Causal","REP"
"STUDY-0864","Random error","Descriptive","REP"
"STUDY-0902","Random error","Descriptive","REP"
"STUDY-0345","Random error","Descriptive","REP"
"STUDY-0472","Random error","Descriptive","REP"
"STUDY-0331","Random error","Causal","REP"
"STUDY-0476","Random error","Causal","VAL"
"STUDY-1013","Random error","Causal","VAL"
"STUDY-0194","Random error","Descriptive","REP"
"STUDY-0736","Random error","Causal","VAL"
"STUDY-0647","Random error","Causal","REP"
"STUDY-0978","Random error","Causal","REP"
"STUDY-0188","Random error","Causal","REP"
"STUDY-0940","Random error","Causal","OK"
"STUDY-0605","Random error","Causal","REP"
"STUDY-0084","Random error","Causal","VAL"
"STUDY-0415","Random error","Causal","REP"
"STUDY-0426","Random error","Causal","NA"
"STUDY-0824","Random error","Descriptive","REP"
"STUDY-0974","Random error","Descriptive","NA"
"STUDY-0679","Random error","Causal","REP"
"STUDY-0115","Random error","Causal","VAL"
"STUDY-0764","Random error","Causal","OK"
"STUDY-0677","Random error","Causal","REP"
"STUDY-0320","Random error","Causal","OK"
"STUDY-0280","Random error","Descriptive","NA"
"STUDY-0434","Random error","Causal","VAL"
"STUDY-0237","Random error","Causal","REP"
"STUDY-0329","Random error","Causal","REP"
"STUDY-0561","Random error","Causal","VAL"
"STUDY-0130","Random error","Descriptive","VAL"
"STUDY-0083","Random error","Causal","REP"
"STUDY-0633","Random error","Causal","REP"
"STUDY-0876","Random error","Causal","REP"
"STUDY-0669","Random error","Causal","VAL"
"STUDY-0074","Random error","Descriptive","NA"
"STUDY-0055","Random error","Descriptive","REP"
"STUDY-0722","Random error","Descriptive","REP"
"STUDY-0947","Random error","Descriptive","REP"
"STUDY-0245","Random error","Descriptive","NA"
"STUDY-0379","Random error","Causal","OK"
"STUDY-0887","Random error","Causal","REP"
"STUDY-0695","Random error","Causal","REP"
"STUDY-0762","Random error","Causal","NA"
"STUDY-0823","Random error","Causal","REP"
"STUDY-0536","Random error","Causal","VAL"
"STUDY-0650","Random error","Causal","NA"
"STUDY-0273","Random error","Causal","VAL"
"STUDY-0961","Random error","Causal","REP"
"STUDY-0609","Random error","Causal","VAL"
"STUDY-0976","Random error","Causal","REP"
"STUDY-0282","Random error","Causal","VAL"
"STUDY-0867","Random error","Descriptive","REP"
"STUDY-0794","Random error","Descriptive","REP"
"STUDY-0829","Random error","Causal","VAL"
"STUDY-0875","Random error","Descriptive","VAL"
"STUDY-0443","Random error","Causal","REP"
"STUDY-0269","Random error","Causal","NA"
"STUDY-0241","Random error","Causal","REP"
"STUDY-0336","Random error","Causal","VAL"
"STUDY-0812","Random error","Causal","VAL"
"STUDY-0567","Random error","Causal","NA"
"STUDY-0232","Random error","Descriptive","NA"
"STUDY-0648","Random error","Descriptive","REP"
"STUDY-0656","Random error","Causal","VAL"
"STUDY-0185","Random error","Descriptive","REP"
"STUDY-0991","Random error","Causal","VAL"
"STUDY-0047","Random error","Descriptive","REP"
"STUDY-0186","Random error","Descriptive","OK"
"STUDY-0713","Random error","Causal","OK"
"STUDY-0710","Random error","Causal","REP"
"STUDY-0520","Random error","Descriptive","REP"
"STUDY-0156","Random error","Descriptive","REP"
"STUDY-0944","Random error","Descriptive","REP"
"STUDY-0305","Random error","Causal","VAL"
"STUDY-0676","Random error","Causal","REP"
"STUDY-0927","Random error","Causal","OK"
"STUDY-0906","Random error","Causal","NA"
"STUDY-0501","Random error","Causal","VAL"
"STUDY-0868","Random error","Causal","NA"
"STUDY-0183","Random error","Causal","VAL"
"STUDY-0053","Random error","Descriptive","REP"
"STUDY-0981","Random error","Causal","REP"
"STUDY-0831","Random error","Causal","NA"
"STUDY-0519","Random error","Causal","VAL"
"STUDY-0017","Random error","Causal","REP"
"STUDY-0621","Random error","Causal","NA"
"STUDY-0905","Random error","Descriptive","VAL"
"STUDY-0143","Random error","Descriptive","NA"
"STUDY-0644","Random error","Causal","REP"
"STUDY-0441","Random error","Descriptive","REP"
"STUDY-0030","Random error","Causal","NA"
"STUDY-0807","Random error","Causal","REP"
"STUDY-0371","Random error","Causal","REP"
"STUDY-0911","Random error","Causal","VAL"
"STUDY-0430","Random error","Causal","REP"
"STUDY-0968","Random error","Causal","NA"
"STUDY-0919","Random error","Causal","REP"
"STUDY-0460","Random error","Causal","REP"
"STUDY-0617","Random error","Descriptive","NA"
"STUDY-0674","Random error","Causal","NA"
"STUDY-0299","Random error","Causal","REP"
"STUDY-0580","Random error","Descriptive","OK"
"STUDY-0425","Random error","Causal","REP"
"STUDY-0783","Random error","Causal","OK"
"STUDY-0466","Random error","Causal","REP"
"STUDY-0380","Random error","Causal","NA"
"STUDY-0196","Random error","Causal","REP"
"STUDY-0437","Random error","Causal","REP"
"STUDY-0566","Random error","Causal","VAL"
"STUDY-0928","Random error","Descriptive","OK"
"STUDY-0202","Random error","Causal","VAL"
"STUDY-0019","Random error","Causal","REP"
"STUDY-0100","Random error","Causal","VAL"
"STUDY-0400","Selection bias","Causal","VAL"
"STUDY-1007","Selection bias","Descriptive","VAL"
"STUDY-0995","Selection bias","Causal","REP"
"STUDY-0405","Selection bias","Causal","VAL"
"STUDY-0531","Selection bias","Descriptive","VAL"
"STUDY-0106","Selection bias","Descriptive","VAL"
"STUDY-0527","Selection bias","Causal","VAL"
"STUDY-0436","Selection bias","Causal","VAL"
"STUDY-0427","Selection bias","Causal","VAL"
"STUDY-0172","Selection bias","Causal","VAL"
"STUDY-0177","Selection bias","Descriptive","VAL"
"STUDY-0393","Selection bias","Descriptive","OK"
"STUDY-0774","Selection bias","Causal","VAL"
"STUDY-0880","Selection bias","Causal","REP"
"STUDY-0914","Selection bias","Descriptive","OK"
"STUDY-0104","Selection bias","Causal","OK"
"STUDY-0537","Selection bias","Descriptive","OK"
"STUDY-0658","Selection bias","Causal","VAL"
"STUDY-0737","Selection bias","Descriptive","OK"
"STUDY-0220","Selection bias","Causal","VAL"
"STUDY-0994","Selection bias","Causal","REP"
"STUDY-0499","Selection bias","Causal","VAL"
"STUDY-0350","Selection bias","Descriptive","VAL"
"STUDY-0354","Selection bias","Descriptive","VAL"
"STUDY-0839","Selection bias","Causal","REP"
"STUDY-0750","Selection bias","Causal","VAL"
"STUDY-0259","Selection bias","Causal","VAL"
"STUDY-0431","Selection bias","Causal","VAL"
"STUDY-0821","Selection bias","Descriptive","VAL"
"STUDY-1022","Selection bias","Causal","REP"
"STUDY-0145","Selection bias","Descriptive","OK"
"STUDY-0385","Selection bias","Causal","VAL"
"STUDY-0397","Selection bias","Descriptive","VAL"
"STUDY-0532","Selection bias","Causal","VAL"
"STUDY-0284","Selection bias","Descriptive","VAL"
"STUDY-0970","Selection bias","Descriptive","VAL"
"STUDY-0304","Selection bias","Causal","VAL"
"STUDY-0487","Selection bias","Descriptive","VAL"
"STUDY-0362","Selection bias","Causal","REP"
"STUDY-0731","Selection bias","Descriptive","VAL"
"STUDY-0322","Selection bias","Causal","VAL"
"STUDY-0159","Selection bias","Causal","VAL"
"STUDY-0419","Selection bias","Causal","OK"
"STUDY-0333","Selection bias","Descriptive","VAL"
"STUDY-0046","Selection bias","Causal","VAL"
"STUDY-0355","Selection bias","Causal","VAL"
"STUDY-0845","Selection bias","Causal","VAL"
"STUDY-0555","Selection bias","Causal","OK"
"STUDY-0945","Selection bias","Causal","VAL"
"STUDY-0365","Selection bias","Causal","VAL"
"STUDY-0023","Selection bias","Causal","VAL"
"STUDY-0817","Selection bias","Causal","VAL"
"STUDY-0170","Selection bias","Causal","VAL"
"STUDY-0442","Selection bias","Causal","VAL"
"STUDY-0026","Selection bias","Causal","VAL"
"STUDY-0048","Selection bias","Causal","REP"
"STUDY-0326","Selection bias","Causal","OK"
"STUDY-0144","Selection bias","Causal","VAL"
"STUDY-0045","Selection bias","Descriptive","OK"
"STUDY-0234","Selection bias","Descriptive","VAL"
"STUDY-0788","Selection bias","Causal","VAL"
"STUDY-0521","Selection bias","Causal","REP"
"STUDY-0192","Selection bias","Causal","VAL"
"STUDY-0049","Selection bias","Causal","VAL"
"STUDY-0012","Selection bias","Descriptive","VAL"
"STUDY-0141","Selection bias","Causal","VAL"
"STUDY-0671","Selection bias","Causal","VAL"
"STUDY-0924","Selection bias","Descriptive","VAL"
"STUDY-0182","Selection bias","Causal","VAL"
"STUDY-0597","Selection bias","Causal","VAL"
"STUDY-0149","Selection bias","Causal","VAL"
"STUDY-0256","Selection bias","Causal","VAL"
"STUDY-0157","Selection bias","Causal","VAL"
"STUDY-0972","Selection bias","Causal","VAL"
"STUDY-0766","Selection bias","Descriptive","VAL"
"STUDY-0257","Selection bias","Causal","VAL"
"STUDY-0819","Selection bias","Causal","VAL"
"STUDY-0611","Selection bias","Causal","VAL"
"STUDY-0942","Selection bias","Causal","VAL"
"STUDY-0492","Selection bias","Descriptive","OK"
"STUDY-0739","Selection bias","Causal","VAL"
"STUDY-0306","Selection bias","Causal","VAL"
"STUDY-0112","Selection bias","Causal","VAL"
"STUDY-0613","Selection bias","Causal","VAL"
"STUDY-0522","Selection bias","Causal","VAL"
"STUDY-0792","Selection bias","Causal","OK"
"STUDY-0248","Selection bias","Causal","VAL"
"STUDY-0189","Selection bias","Causal","REP"
"STUDY-0701","Selection bias","Descriptive","VAL"
"STUDY-0040","Selection bias","Causal","VAL"
"STUDY-0402","Selection bias","Descriptive","VAL"
"STUDY-0977","Selection bias","Causal","VAL"
"STUDY-0429","Selection bias","Causal","VAL"
"STUDY-0589","Selection bias","Causal","VAL"
"STUDY-0933","Selection bias","Causal","VAL"
"STUDY-0330","Selection bias","Causal","VAL"
"STUDY-0922","Selection bias","Causal","VAL"
"STUDY-0600","Selection bias","Causal","VAL"
"STUDY-0119","Selection bias","Causal","VAL"
"STUDY-0251","Selection bias","Causal","VAL"
"STUDY-0932","Selection bias","Causal","VAL"
"STUDY-0749","Selection bias","Descriptive","OK"
"STUDY-0517","Selection bias","Causal","VAL"
"STUDY-0210","Selection bias","Descriptive","VAL"
"STUDY-0923","Selection bias","Causal","VAL"
"STUDY-0214","Selection bias","Causal","OK"
"STUDY-0565","Selection bias","Causal","VAL"
"STUDY-0899","Selection bias","Causal","VAL"
"STUDY-0094","Selection bias","Causal","VAL"
"STUDY-0809","Selection bias","Causal","VAL"
"STUDY-0793","Selection bias","Causal","VAL"
"STUDY-0387","Selection bias","Descriptive","VAL"
"STUDY-0700","Selection bias","Causal","OK"
"STUDY-0805","Selection bias","Causal","VAL"
"STUDY-0780","Selection bias","Causal","VAL"
"STUDY-0184","Selection bias","Causal","VAL"
"STUDY-0205","Selection bias","Causal","VAL"
"STUDY-0740","Selection bias","Causal","VAL"
"STUDY-0930","Selection bias","Causal","VAL"
"STUDY-1026","Selection bias","Descriptive","OK"
"STUDY-0649","Selection bias","Causal","REP"
"STUDY-0133","Selection bias","Causal","VAL"
"STUDY-0542","Selection bias","Causal","VAL"
"STUDY-0337","Selection bias","Causal","VAL"
"STUDY-0702","Selection bias","Descriptive","VAL"
"STUDY-0541","Selection bias","Descriptive","OK"
"STUDY-0840","Selection bias","Causal","OK"
"STUDY-0447","Selection bias","Causal","VAL"
"STUDY-0634","Selection bias","Descriptive","VAL"
"STUDY-0037","Selection bias","Causal","VAL"
"STUDY-1021","Selection bias","Descriptive","VAL"
"STUDY-0268","Selection bias","Causal","REP"
"STUDY-0943","Selection bias","Descriptive","VAL"
"STUDY-0760","Selection bias","Descriptive","VAL"
"STUDY-0549","Selection bias","Causal","VAL"
"STUDY-0161","Selection bias","Causal","VAL"
"STUDY-0064","Selection bias","Causal","VAL"
"STUDY-0952","Selection bias","Descriptive","VAL"
"STUDY-0471","Selection bias","Causal","VAL"
"STUDY-0135","Selection bias","Causal","VAL"
"STUDY-0963","Selection bias","Causal","VAL"
"STUDY-0494","Selection bias","Causal","VAL"
"STUDY-0577","Selection bias","Causal","OK"
"STUDY-0598","Selection bias","Causal","VAL"
"STUDY-0093","Selection bias","Causal","REP"
"STUDY-0006","Selection bias","Causal","VAL"
"STUDY-0698","Selection bias","Causal","VAL"
"STUDY-0603","Selection bias","Causal","VAL"
"STUDY-1001","Selection bias","Causal","VAL"
"STUDY-0423","Selection bias","Causal","VAL"
"STUDY-0086","Selection bias","Descriptive","VAL"
"STUDY-0207","Selection bias","Causal","VAL"
"STUDY-0109","Selection bias","Causal","VAL"
"STUDY-1016","Selection bias","Descriptive","OK"
"STUDY-0473","Selection bias","Descriptive","VAL"
"STUDY-0295","Selection bias","Causal","VAL"
"STUDY-0516","Selection bias","Causal","OK"
"STUDY-0803","Selection bias","Descriptive","OK"
"STUDY-0307","Selection bias","Causal","OK"
"STUDY-0560","Selection bias","Descriptive","VAL"
"STUDY-0132","Selection bias","Causal","REP"
"STUDY-0852","Selection bias","Causal","VAL"
"STUDY-0231","Selection bias","Causal","VAL"
"STUDY-0595","Selection bias","Causal","VAL"
"STUDY-0834","Selection bias","Causal","VAL"
"STUDY-0865","Selection bias","Descriptive","OK"
"STUDY-0339","Selection bias","Descriptive","OK"
"STUDY-0773","Selection bias","Descriptive","VAL"
"STUDY-0744","Selection bias","Causal","VAL"
"STUDY-0475","Selection bias","Causal","OK"
"STUDY-0853","Selection bias","Causal","OK"
"STUDY-0403","Selection bias","Causal","OK"
"STUDY-0628","Selection bias","Causal","VAL"
"STUDY-0653","Selection bias","Causal","VAL"
"STUDY-0005","Selection bias","Causal","VAL"
"STUDY-0162","Selection bias","Causal","VAL"
"STUDY-0728","Selection bias","Causal","VAL"
"STUDY-0590","Selection bias","Causal","VAL"
"STUDY-0440","Selection bias","Descriptive","OK"
"STUDY-0450","Selection bias","Causal","VAL"
"STUDY-0416","Selection bias","Causal","VAL"
"STUDY-0557","Selection bias","Causal","VAL"
"STUDY-0352","Selection bias","Causal","VAL"
"STUDY-0468","Selection bias","Descriptive","OK"
"STUDY-0665","Selection bias","Causal","OK"
"STUDY-0988","Selection bias","Causal","VAL"
"STUDY-0252","Selection bias","Causal","VAL"
"STUDY-0986","Selection bias","Causal","VAL"
"STUDY-0781","Selection bias","Causal","VAL"
"STUDY-0360","Selection bias","Causal","VAL"
"STUDY-1003","Selection bias","Descriptive","VAL"
"STUDY-0062","Selection bias","Causal","VAL"
"STUDY-0630","Selection bias","Causal","REP"
"STUDY-0335","Selection bias","Causal","OK"
"STUDY-0096","Selection bias","Causal","VAL"
"STUDY-0778","Selection bias","Descriptive","OK"
"STUDY-0878","Selection bias","Causal","VAL"
"STUDY-0864","Selection bias","Descriptive","VAL"
"STUDY-0902","Selection bias","Descriptive","OK"
"STUDY-0345","Selection bias","Descriptive","OK"
"STUDY-0472","Selection bias","Descriptive","VAL"
"STUDY-0331","Selection bias","Causal","VAL"
"STUDY-0476","Selection bias","Causal","VAL"
"STUDY-1013","Selection bias","Causal","VAL"
"STUDY-0194","Selection bias","Descriptive","VAL"
"STUDY-0736","Selection bias","Causal","VAL"
"STUDY-0647","Selection bias","Causal","VAL"
"STUDY-0978","Selection bias","Causal","VAL"
"STUDY-0188","Selection bias","Causal","VAL"
"STUDY-0940","Selection bias","Causal","VAL"
"STUDY-0605","Selection bias","Causal","VAL"
"STUDY-0084","Selection bias","Causal","REP"
"STUDY-0415","Selection bias","Causal","VAL"
"STUDY-0426","Selection bias","Causal","REP"
"STUDY-0824","Selection bias","Descriptive","VAL"
"STUDY-0974","Selection bias","Descriptive","OK"
"STUDY-0679","Selection bias","Causal","VAL"
"STUDY-0115","Selection bias","Causal","VAL"
"STUDY-0764","Selection bias","Causal","VAL"
"STUDY-0677","Selection bias","Causal","VAL"
"STUDY-0320","Selection bias","Causal","OK"
"STUDY-0280","Selection bias","Descriptive","OK"
"STUDY-0434","Selection bias","Causal","VAL"
"STUDY-0237","Selection bias","Causal","VAL"
"STUDY-0329","Selection bias","Causal","VAL"
"STUDY-0561","Selection bias","Causal","OK"
"STUDY-0130","Selection bias","Descriptive","VAL"
"STUDY-0083","Selection bias","Causal","VAL"
"STUDY-0633","Selection bias","Causal","VAL"
"STUDY-0876","Selection bias","Causal","VAL"
"STUDY-0669","Selection bias","Causal","VAL"
"STUDY-0074","Selection bias","Descriptive","OK"
"STUDY-0055","Selection bias","Descriptive","VAL"
"STUDY-0722","Selection bias","Descriptive","VAL"
"STUDY-0947","Selection bias","Descriptive","VAL"
"STUDY-0245","Selection bias","Descriptive","VAL"
"STUDY-0379","Selection bias","Causal","VAL"
"STUDY-0887","Selection bias","Causal","VAL"
"STUDY-0695","Selection bias","Causal","VAL"
"STUDY-0762","Selection bias","Causal","OK"
"STUDY-0823","Selection bias","Causal","VAL"
"STUDY-0536","Selection bias","Causal","VAL"
"STUDY-0650","Selection bias","Causal","VAL"
"STUDY-0273","Selection bias","Causal","VAL"
"STUDY-0961","Selection bias","Causal","VAL"
"STUDY-0609","Selection bias","Causal","VAL"
"STUDY-0976","Selection bias","Causal","VAL"
"STUDY-0282","Selection bias","Causal","VAL"
"STUDY-0867","Selection bias","Descriptive","VAL"
"STUDY-0794","Selection bias","Descriptive","VAL"
"STUDY-0829","Selection bias","Causal","OK"
"STUDY-0875","Selection bias","Descriptive","VAL"
"STUDY-0443","Selection bias","Causal","VAL"
"STUDY-0269","Selection bias","Causal","REP"
"STUDY-0241","Selection bias","Causal","VAL"
"STUDY-0336","Selection bias","Causal","OK"
"STUDY-0812","Selection bias","Causal","VAL"
"STUDY-0567","Selection bias","Causal","VAL"
"STUDY-0232","Selection bias","Descriptive","OK"
"STUDY-0648","Selection bias","Descriptive","VAL"
"STUDY-0656","Selection bias","Causal","VAL"
"STUDY-0185","Selection bias","Descriptive","VAL"
"STUDY-0991","Selection bias","Causal","VAL"
"STUDY-0047","Selection bias","Descriptive","VAL"
"STUDY-0186","Selection bias","Descriptive","VAL"
"STUDY-0713","Selection bias","Causal","VAL"
"STUDY-0710","Selection bias","Causal","VAL"
"STUDY-0520","Selection bias","Descriptive","OK"
"STUDY-0156","Selection bias","Descriptive","VAL"
"STUDY-0944","Selection bias","Descriptive","VAL"
"STUDY-0305","Selection bias","Causal","VAL"
"STUDY-0676","Selection bias","Causal","VAL"
"STUDY-0927","Selection bias","Causal","VAL"
"STUDY-0906","Selection bias","Causal","REP"
"STUDY-0501","Selection bias","Causal","VAL"
"STUDY-0868","Selection bias","Causal","OK"
"STUDY-0183","Selection bias","Causal","VAL"
"STUDY-0053","Selection bias","Descriptive","VAL"
"STUDY-0981","Selection bias","Causal","VAL"
"STUDY-0831","Selection bias","Causal","OK"
"STUDY-0519","Selection bias","Causal","VAL"
"STUDY-0017","Selection bias","Causal","VAL"
"STUDY-0621","Selection bias","Causal","VAL"
"STUDY-0905","Selection bias","Descriptive","VAL"
"STUDY-0143","Selection bias","Descriptive","OK"
"STUDY-0644","Selection bias","Causal","VAL"
"STUDY-0441","Selection bias","Descriptive","VAL"
"STUDY-0030","Selection bias","Causal","OK"
"STUDY-0807","Selection bias","Causal","VAL"
"STUDY-0371","Selection bias","Causal","VAL"
"STUDY-0911","Selection bias","Causal","VAL"
"STUDY-0430","Selection bias","Causal","VAL"
"STUDY-0968","Selection bias","Causal","VAL"
"STUDY-0919","Selection bias","Causal","VAL"
"STUDY-0460","Selection bias","Causal","VAL"
"STUDY-0617","Selection bias","Descriptive","OK"
"STUDY-0674","Selection bias","Causal","REP"
