stratifier,level,ord,task,domain,applic,val_n,rep_n,val_pct,rep_pct,mean_v_items,mean_r_items,mean_sev,ack_named,ack_pct
% Saudi authors,<50%,2,Descriptive,Conflating task,26,18,0,69.2307692307692,0,0.692307692307692,0,0.692307692307692,NA,NA
% Saudi authors,<50%,2,Causal,Random error,72,15,51,20.8333333333333,70.8333333333333,0.208333333333333,0.708333333333333,0.208333333333333,2,13.3333333333333
% Saudi authors,<50%,2,Causal,Selection bias,84,68,72,80.9523809523809,85.7142857142857,0.821428571428571,1.07142857142857,0.821428571428571,20,29.4117647058824
% Saudi authors,<50%,2,Causal,Measurement bias,84,84,0,100,0,3.85714285714286,0,3.51190476190476,41,48.8095238095238
% Saudi authors,<50%,2,Causal,Confounding bias,84,72,0,85.7142857142857,0,0.857142857142857,0,0.64682540952381,19,26.3888888888889
% Saudi authors,<50%,2,Causal,Missing data,84,30,31,35.7142857142857,36.9047619047619,0.488095238095238,0.511904761904762,0.479166666666667,6,20
% Saudi authors,<50%,2,Causal,Mentioning errors,84,0,22,0,26.1904761904762,0,0.261904761904762,0,NA,NA
% Saudi authors,<50%,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Corresponding author,Saudi,1,Descriptive,Random error,40,10,25,25,62.5,0.325,0.625,0.325,4,40
Corresponding author,Saudi,1,Descriptive,Selection bias,58,40,0,68.9655172413793,0,0.689655172413793,0,0.689655172413793,19,47.5
Corresponding author,Saudi,1,Descriptive,Measurement bias,58,57,0,98.2758620689655,0,1.77586206896552,0,1.51724137931034,16,28.0701754385965
Corresponding author,Saudi,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Corresponding author,Saudi,1,Descriptive,Missing data,58,8,18,13.7931034482759,31.0344827586207,0.137931034482759,0.310344827586207,0.137931034482759,0,0
Corresponding author,Saudi,1,Descriptive,Mentioning errors,58,0,25,0,43.1034482758621,0,0.431034482758621,0,NA,NA
Corresponding author,Saudi,1,Descriptive,Conflating task,58,37,0,63.7931034482759,0,0.637931034482759,0,0.637931034482759,NA,NA
Corresponding author,Saudi,1,Causal,Random error,117,43,59,36.7521367521367,50.4273504273504,0.427350427350427,0.504273504273504,0.427350427350427,7,16.2790697674419
Corresponding author,Saudi,1,Causal,Selection bias,146,115,129,78.7671232876712,88.3561643835616,0.821917808219178,0.979452054794521,0.821917808219178,34,29.5652173913043
Corresponding author,Saudi,1,Causal,Measurement bias,146,146,0,100,0,4.27397260273973,0,3.88698630136986,59,40.4109589041096
Corresponding author,Saudi,1,Causal,Confounding bias,146,130,0,89.041095890411,0,0.89041095890411,0,0.712328778082192,33,25.3846153846154
Corresponding author,Saudi,1,Causal,Missing data,146,22,52,15.0684931506849,35.6164383561644,0.226027397260274,0.5,0.214041095890411,1,4.54545454545455
Corresponding author,Saudi,1,Causal,Mentioning errors,146,0,44,0,30.1369863013699,0,0.301369863013699,0,NA,NA
Corresponding author,Saudi,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Corresponding author,Non-Saudi,2,Descriptive,Random error,15,4,10,26.6666666666667,66.6666666666667,0.266666666666667,0.666666666666667,0.266666666666667,0,0
Corresponding author,Non-Saudi,2,Descriptive,Selection bias,23,15,0,65.2173913043478,0,0.652173913043478,0,0.652173913043478,8,53.3333333333333
Corresponding author,Non-Saudi,2,Descriptive,Measurement bias,23,23,0,100,0,1.65217391304348,0,1.47826086956522,11,47.8260869565217
Corresponding author,Non-Saudi,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Corresponding author,Non-Saudi,2,Descriptive,Missing data,23,3,7,13.0434782608696,30.4347826086957,0.130434782608696,0.304347826086957,0.130434782608696,2,66.6666666666667
Corresponding author,Non-Saudi,2,Descriptive,Mentioning errors,23,0,8,0,34.7826086956522,0,0.347826086956522,0,NA,NA
Corresponding author,Non-Saudi,2,Descriptive,Conflating task,23,15,0,65.2173913043478,0,0.652173913043478,0,0.652173913043478,NA,NA
Corresponding author,Non-Saudi,2,Causal,Random error,73,17,49,23.2876712328767,67.1232876712329,0.232876712328767,0.671232876712329,0.232876712328767,1,5.88235294117647
Corresponding author,Non-Saudi,2,Causal,Selection bias,83,68,71,81.9277108433735,85.5421686746988,0.843373493975904,1.07228915662651,0.843373493975904,23,33.8235294117647
Corresponding author,Non-Saudi,2,Causal,Measurement bias,83,83,0,100,0,4.01204819277108,0,3.65060240963855,43,51.8072289156626
Corresponding author,Non-Saudi,2,Causal,Confounding bias,83,71,0,85.5421686746988,0,0.855421686746988,0,0.650602420481928,15,21.1267605633803
Corresponding author,Non-Saudi,2,Causal,Missing data,83,30,31,36.144578313253,37.3493975903614,0.469879518072289,0.542168674698795,0.460843373493976,5,16.6666666666667
Corresponding author,Non-Saudi,2,Causal,Mentioning errors,83,0,21,0,25.3012048192771,0,0.253012048192771,0,NA,NA
Corresponding author,Non-Saudi,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
First author,Saudi,1,Descriptive,Random error,41,9,27,21.9512195121951,65.8536585365854,0.292682926829268,0.658536585365854,0.292682926829268,3,33.3333333333333
First author,Saudi,1,Descriptive,Selection bias,59,41,0,69.4915254237288,0,0.694915254237288,0,0.694915254237288,20,48.780487804878
First author,Saudi,1,Descriptive,Measurement bias,59,59,0,100,0,1.8135593220339,0,1.55084745762712,18,30.5084745762712
First author,Saudi,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
First author,Saudi,1,Descriptive,Missing data,59,8,17,13.5593220338983,28.8135593220339,0.135593220338983,0.288135593220339,0.135593220338983,0,0
First author,Saudi,1,Descriptive,Mentioning errors,59,0,25,0,42.3728813559322,0,0.423728813559322,0,NA,NA
First author,Saudi,1,Descriptive,Conflating task,59,37,0,62.7118644067797,0,0.627118644067797,0,0.627118644067797,NA,NA
First author,Saudi,1,Causal,Random error,121,43,63,35.5371900826446,52.0661157024793,0.413223140495868,0.520661157024793,0.413223140495868,7,16.2790697674419
First author,Saudi,1,Causal,Selection bias,152,119,134,78.2894736842105,88.1578947368421,0.822368421052632,0.973684210526316,0.822368421052632,35,29.4117647058824
First author,Saudi,1,Causal,Measurement bias,152,152,0,100,0,4.30921052631579,0,3.92434210526316,64,42.1052631578947
First author,Saudi,1,Causal,Confounding bias,152,135,0,88.8157894736842,0,0.888157894736842,0,0.712719308552632,33,24.4444444444444
First author,Saudi,1,Causal,Missing data,152,27,56,17.7631578947368,36.8421052631579,0.25,0.519736842105263,0.238486842105263,1,3.7037037037037
First author,Saudi,1,Causal,Mentioning errors,152,0,44,0,28.9473684210526,0,0.289473684210526,0,NA,NA
First author,Saudi,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
First author,Non-Saudi,2,Descriptive,Random error,14,5,8,35.7142857142857,57.1428571428571,0.357142857142857,0.571428571428571,0.357142857142857,1,20
First author,Non-Saudi,2,Descriptive,Selection bias,22,14,0,63.6363636363636,0,0.636363636363636,0,0.636363636363636,7,50
First author,Non-Saudi,2,Descriptive,Measurement bias,22,21,0,95.4545454545455,0,1.54545454545455,0,1.38636363636364,9,42.8571428571429
First author,Non-Saudi,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
First author,Non-Saudi,2,Descriptive,Missing data,22,3,8,13.6363636363636,36.3636363636364,0.136363636363636,0.363636363636364,0.136363636363636,2,66.6666666666667
First author,Non-Saudi,2,Descriptive,Mentioning errors,22,0,8,0,36.3636363636364,0,0.363636363636364,0,NA,NA
First author,Non-Saudi,2,Descriptive,Conflating task,22,15,0,68.1818181818182,0,0.681818181818182,0,0.681818181818182,NA,NA
First author,Non-Saudi,2,Causal,Random error,69,17,45,24.6376811594203,65.2173913043478,0.246376811594203,0.652173913043478,0.246376811594203,1,5.88235294117647
First author,Non-Saudi,2,Causal,Selection bias,77,64,66,83.1168831168831,85.7142857142857,0.844155844155844,1.09090909090909,0.844155844155844,22,34.375
First author,Non-Saudi,2,Causal,Measurement bias,77,77,0,100,0,3.92207792207792,0,3.55844155844156,38,49.3506493506493
First author,Non-Saudi,2,Causal,Confounding bias,77,66,0,85.7142857142857,0,0.857142857142857,0,0.645021657142857,15,22.7272727272727
First author,Non-Saudi,2,Causal,Missing data,77,25,27,32.4675324675325,35.0649350649351,0.441558441558442,0.506493506493506,0.431818181818182,5,20
First author,Non-Saudi,2,Causal,Mentioning errors,77,0,21,0,27.2727272727273,0,0.272727272727273,0,NA,NA
First author,Non-Saudi,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Last author,Saudi,1,Descriptive,Random error,35,8,22,22.8571428571429,62.8571428571429,0.314285714285714,0.628571428571429,0.314285714285714,4,50
Last author,Saudi,1,Descriptive,Selection bias,51,35,0,68.6274509803922,0,0.686274509803922,0,0.686274509803922,19,54.2857142857143
Last author,Saudi,1,Descriptive,Measurement bias,51,50,0,98.0392156862745,0,1.80392156862745,0,1.53921568627451,15,30
Last author,Saudi,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Last author,Saudi,1,Descriptive,Missing data,51,7,16,13.7254901960784,31.3725490196078,0.137254901960784,0.313725490196078,0.137254901960784,0,0
Last author,Saudi,1,Descriptive,Mentioning errors,51,0,19,0,37.2549019607843,0,0.372549019607843,0,NA,NA
Last author,Saudi,1,Descriptive,Conflating task,51,31,0,60.7843137254902,0,0.607843137254902,0,0.607843137254902,NA,NA
Last author,Saudi,1,Causal,Random error,109,41,57,37.6146788990826,52.2935779816514,0.431192660550459,0.522935779816514,0.431192660550459,5,12.1951219512195
Last author,Saudi,1,Causal,Selection bias,133,107,119,80.4511278195489,89.4736842105263,0.819548872180451,0.984962406015038,0.819548872180451,35,32.7102803738318
Last author,Saudi,1,Causal,Measurement bias,133,133,0,100,0,4.30075187969925,0,3.91729323308271,53,39.8496240601504
Last author,Saudi,1,Causal,Confounding bias,133,122,0,91.7293233082707,0,0.917293233082707,0,0.744360913533835,28,22.9508196721311
Last author,Saudi,1,Causal,Missing data,133,17,47,12.781954887218,35.3383458646617,0.18796992481203,0.533834586466165,0.178571428571429,0,0
Last author,Saudi,1,Causal,Mentioning errors,133,0,40,0,30.0751879699248,0,0.300751879699248,0,NA,NA
Last author,Saudi,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Last author,Non-Saudi,2,Descriptive,Random error,20,6,13,30,65,0.3,0.65,0.3,0,0
Last author,Non-Saudi,2,Descriptive,Selection bias,30,20,0,66.6666666666667,0,0.666666666666667,0,0.666666666666667,8,40
Last author,Non-Saudi,2,Descriptive,Measurement bias,30,30,0,100,0,1.63333333333333,0,1.45,12,40
Last author,Non-Saudi,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Last author,Non-Saudi,2,Descriptive,Missing data,30,4,9,13.3333333333333,30,0.133333333333333,0.3,0.133333333333333,2,50
Last author,Non-Saudi,2,Descriptive,Mentioning errors,30,0,14,0,46.6666666666667,0,0.466666666666667,0,NA,NA
Last author,Non-Saudi,2,Descriptive,Conflating task,30,21,0,70,0,0.7,0,0.7,NA,NA
Last author,Non-Saudi,2,Causal,Random error,81,19,51,23.4567901234568,62.962962962963,0.246913580246914,0.62962962962963,0.246913580246914,3,15.7894736842105
Last author,Non-Saudi,2,Causal,Selection bias,96,76,81,79.1666666666667,84.375,0.84375,1.05208333333333,0.84375,22,28.9473684210526
Last author,Non-Saudi,2,Causal,Measurement bias,96,96,0,100,0,4.01041666666667,0,3.640625,49,51.0416666666667
Last author,Non-Saudi,2,Causal,Confounding bias,96,79,0,82.2916666666667,0,0.822916666666667,0,0.61458334375,20,25.3164556962025
Last author,Non-Saudi,2,Causal,Missing data,96,35,36,36.4583333333333,37.5,0.489583333333333,0.489583333333333,0.4765625,6,17.1428571428571
Last author,Non-Saudi,2,Causal,Mentioning errors,96,0,25,0,26.0416666666667,0,0.260416666666667,0,NA,NA
Last author,Non-Saudi,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Sector composition,Academic-only,1,Descriptive,Random error,42,11,25,26.1904761904762,59.5238095238095,0.30952380952381,0.595238095238095,0.30952380952381,3,27.2727272727273
Sector composition,Academic-only,1,Descriptive,Selection bias,51,40,0,78.4313725490196,0,0.784313725490196,0,0.784313725490196,16,40
Sector composition,Academic-only,1,Descriptive,Measurement bias,51,50,0,98.0392156862745,0,1.80392156862745,0,1.53921568627451,16,32
Sector composition,Academic-only,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Sector composition,Academic-only,1,Descriptive,Missing data,51,5,16,9.80392156862745,31.3725490196078,0.0980392156862745,0.313725490196078,0.0980392156862745,0,0
Sector composition,Academic-only,1,Descriptive,Mentioning errors,51,0,22,0,43.1372549019608,0,0.431372549019608,0,NA,NA
Sector composition,Academic-only,1,Descriptive,Conflating task,51,36,0,70.5882352941177,0,0.705882352941177,0,0.705882352941177,NA,NA
Sector composition,Academic-only,1,Causal,Random error,142,47,79,33.0985915492958,55.6338028169014,0.380281690140845,0.556338028169014,0.380281690140845,5,10.6382978723404
Sector composition,Academic-only,1,Causal,Selection bias,156,135,142,86.5384615384615,91.025641025641,0.897435897435897,1.05769230769231,0.897435897435897,40,29.6296296296296
Sector composition,Academic-only,1,Causal,Measurement bias,156,156,0,100,0,4.27564102564103,0,3.84294871794872,75,48.0769230769231
Sector composition,Academic-only,1,Causal,Confounding bias,156,132,0,84.6153846153846,0,0.846153846153846,0,0.651709411538462,27,20.4545454545455
Sector composition,Academic-only,1,Causal,Missing data,156,38,61,24.3589743589744,39.1025641025641,0.333333333333333,0.564102564102564,0.325320512820513,4,10.5263157894737
Sector composition,Academic-only,1,Causal,Mentioning errors,156,0,48,0,30.7692307692308,0,0.307692307692308,0,NA,NA
Sector composition,Academic-only,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Sector composition,Health-system,2,Descriptive,Random error,13,3,10,23.0769230769231,76.9230769230769,0.307692307692308,0.769230769230769,0.307692307692308,1,33.3333333333333
Sector composition,Health-system,2,Descriptive,Selection bias,30,15,0,50,0,0.5,0,0.5,11,73.3333333333333
Sector composition,Health-system,2,Descriptive,Measurement bias,30,30,0,100,0,1.63333333333333,0,1.45,11,36.6666666666667
Sector composition,Health-system,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Sector composition,Health-system,2,Descriptive,Missing data,30,6,9,20,30,0.2,0.3,0.2,2,33.3333333333333
Sector composition,Health-system,2,Descriptive,Mentioning errors,30,0,11,0,36.6666666666667,0,0.366666666666667,0,NA,NA
Sector composition,Health-system,2,Descriptive,Conflating task,30,16,0,53.3333333333333,0,0.533333333333333,0,0.533333333333333,NA,NA
Sector composition,Health-system,2,Causal,Random error,48,13,29,27.0833333333333,60.4166666666667,0.270833333333333,0.604166666666667,0.270833333333333,3,23.0769230769231
Sector composition,Health-system,2,Causal,Selection bias,73,48,58,65.7534246575343,79.4520547945205,0.684931506849315,0.917808219178082,0.684931506849315,17,35.4166666666667
Sector composition,Health-system,2,Causal,Measurement bias,73,73,0,100,0,3.97260273972603,0,3.71232876712329,27,36.986301369863
Sector composition,Health-system,2,Causal,Confounding bias,73,69,0,94.5205479452055,0,0.945205479452055,0,0.771689510958904,21,30.4347826086957
Sector composition,Health-system,2,Causal,Missing data,73,14,22,19.1780821917808,30.1369863013699,0.273972602739726,0.410958904109589,0.256849315068493,2,14.2857142857143
Sector composition,Health-system,2,Causal,Mentioning errors,73,0,17,0,23.2876712328767,0,0.232876712328767,0,NA,NA
Sector composition,Health-system,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Single vs multi-sector,Single-sector,1,Descriptive,Random error,40,10,25,25,62.5,0.3,0.625,0.3,3,30
