"PMID","Study_Type","domain","item","axis","state","primary","raw","severity"
"STUDY-1007","Descriptive","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-1007","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error;Selection bias",0
"STUDY-1007","Descriptive","Conflating task","confl_task","validity","OK",TRUE,"No",0
"STUDY-0995","Causal","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0995","Causal","Selection bias","comp_dis","reporting","NA",TRUE,"skipped",0
"STUDY-0995","Causal","Selection bias","ltfu_bias","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0995","Causal","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0995","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0995","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0995","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0995","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0995","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0995","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0995","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0995","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on statistical criteria",0.6666667
"STUDY-0995","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0995","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0995","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0995","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias",0
"STUDY-0405","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0405","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0405","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0405","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0405","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0405","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0405","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0405","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0405","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"No",1
"STUDY-0405","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0405","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0405","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0405","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Matching;Regression",0
"STUDY-0405","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on none of the above",0.6666667
"STUDY-0405","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0405","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0405","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0405","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias",0
"STUDY-0531","Descriptive","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0531","Descriptive","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0531","Descriptive","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0531","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0531","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0531","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0531","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0531","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias",0
"STUDY-0531","Descriptive","Conflating task","confl_task","validity","VAL",TRUE,"Yes",1
"STUDY-0106","Descriptive","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0106","Descriptive","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0106","Descriptive","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0106","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0106","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0106","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0106","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0106","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error;Selection bias",0
"STUDY-0106","Descriptive","Conflating task","confl_task","validity","VAL",TRUE,"Yes",1
"STUDY-0527","Causal","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0527","Causal","Random error","acc_sampl","validity","OK",TRUE,"Yes",0
"STUDY-0527","Causal","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0527","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0527","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0527","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0527","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0527","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0527","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0527","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0527","Causal","Measurement bias","diff_or_nondiff_exp","validity","VAL",TRUE,"Differential with respect to the outcome",1
"STUDY-0527","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0527","Causal","Confounding bias","base_conf_meth","validity","VAL",TRUE,"No adjustment for baseline confounding was done",1
"STUDY-0527","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0527","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0527","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0527","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0527","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias",0
"STUDY-0436","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0436","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0436","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0436","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0436","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0436","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0436","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0436","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0436","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"No",1
"STUDY-0436","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0436","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0436","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0436","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Matching",0
"STUDY-0436","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on none of the above",0.6666667
"STUDY-0436","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0436","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0436","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0436","Causal","Mentioning errors","err_disc","reporting","REP",TRUE,"None of the above",0
"STUDY-0427","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0427","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0427","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0427","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0427","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0427","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0427","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0427","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0427","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0427","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0427","Causal","Measurement bias","diff_or_nondiff_exp","validity","VAL",TRUE,"Differential with respect to the outcome",1
"STUDY-0427","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0427","Causal","Confounding bias","base_conf_meth","validity","VAL",TRUE,"No adjustment for baseline confounding was done",1
"STUDY-0427","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0427","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0427","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0427","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0427","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error;Measurement bias",0
"STUDY-0172","Causal","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0172","Causal","Random error","acc_sampl","validity","VAL",TRUE,"No",1
"STUDY-0172","Causal","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0172","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0172","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0172","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0172","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0172","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0172","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0172","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0172","Causal","Measurement bias","diff_or_nondiff_exp","validity","VAL",TRUE,"Differential with respect to the outcome",1
"STUDY-0172","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0172","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0172","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on previous literature",0.3333333
"STUDY-0172","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0172","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0172","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0172","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias;Measurement bias",0
"STUDY-0177","Descriptive","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0177","Descriptive","Random error","acc_sampl","validity","VAL",TRUE,"No",1
"STUDY-0177","Descriptive","Random error","sample_ach","validity","VAL",TRUE,"No",1
"STUDY-0177","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0177","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0177","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0177","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0177","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias",0
"STUDY-0177","Descriptive","Conflating task","confl_task","validity","OK",TRUE,"No",0
"STUDY-0393","Descriptive","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0393","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0393","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0393","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"Yes",0
"STUDY-0393","Descriptive","Missing data","hand_miss_outcom","validity","VAL",TRUE,"No",1
"STUDY-0393","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias;Missing data",0
"STUDY-0393","Descriptive","Conflating task","confl_task","validity","OK",TRUE,"No",0
"STUDY-0774","Causal","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0774","Causal","Random error","acc_sampl","validity","OK",TRUE,"Yes",0
"STUDY-0774","Causal","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0774","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0774","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0774","Causal","Selection bias","ltfu_bias","reporting","OK",TRUE,"No",0
"STUDY-0774","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0774","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0774","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0774","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0774","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0774","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0774","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0774","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Randomization",0
"STUDY-0774","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"",0
"STUDY-0774","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0774","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0774","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0774","Causal","Mentioning errors","err_disc","reporting","REP",TRUE,"None of the above",0
"STUDY-0880","Causal","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0880","Causal","Selection bias","comp_dis","reporting","NA",TRUE,"",0
"STUDY-0880","Causal","Selection bias","ltfu_bias","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0880","Causal","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0880","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0880","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0880","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0880","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0880","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0880","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0880","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0880","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on previous literature",0.3333333
"STUDY-0880","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0880","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0880","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0880","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error, Selection bias;Confounding bias",0
"STUDY-0914","Descriptive","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0914","Descriptive","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0914","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0914","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0914","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias",0
"STUDY-0914","Descriptive","Conflating task","confl_task","validity","VAL",TRUE,"Yes",1
"STUDY-0104","Causal","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0104","Causal","Random error","acc_sampl","validity","VAL",TRUE,"No",1
"STUDY-0104","Causal","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0104","Causal","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0104","Causal","Selection bias","comp_dis","reporting","NA",TRUE,"",0
"STUDY-0104","Causal","Selection bias","ltfu_bias","reporting","OK",TRUE,"No",0
"STUDY-0104","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0104","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0104","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0104","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"No",1
"STUDY-0104","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0104","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0104","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0104","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Randomization;Stratification",0
"STUDY-0104","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on none of the above",0.6666667
"STUDY-0104","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0104","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0104","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0104","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error",0
"STUDY-0537","Descriptive","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0537","Descriptive","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0537","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0537","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0537","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error",0
"STUDY-0537","Descriptive","Conflating task","confl_task","validity","OK",TRUE,"No",0
"STUDY-0658","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0658","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0658","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0658","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0658","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0658","Causal","Selection bias","ltfu_bias","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0658","Causal","Measurement bias","val_outcome","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0658","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0658","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0658","Causal","Measurement bias","val_exposure","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0658","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0658","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0658","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0658","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0658","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on none of the above",0.6666667
"STUDY-0658","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0658","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"Yes",0
"STUDY-0658","Causal","Missing data","hand_miss_outcom","validity","VAL",TRUE,"No",1
"STUDY-0658","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"Yes",0
"STUDY-0658","Causal","Missing data","hand_miss_exposure","validity","VAL",TRUE,"No",1
"STUDY-0658","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Confounding bias",0
"STUDY-0737","Descriptive","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0737","Descriptive","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0737","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0737","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0737","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias;Missing data",0
"STUDY-0737","Descriptive","Conflating task","confl_task","validity","VAL",TRUE,"Yes",1
"STUDY-0220","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0220","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0220","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0220","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0220","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0220","Causal","Selection bias","ltfu_bias","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0220","Causal","Measurement bias","val_outcome","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0220","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0220","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0220","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0220","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0220","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0220","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0220","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Randomization",0
"STUDY-0220","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0220","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0220","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0220","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0220","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias",0
"STUDY-0994","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0994","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0994","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0994","Causal","Selection bias","base_sel","validity","OK",TRUE,"Yes",0
