PMID,Study_Type,jcr_2022_quartile
STUDY-0157,Causal,Q2
STUDY-0972,Causal,Q2
STUDY-0766,Descriptive,Q3
STUDY-0552,Predictive,None
STUDY-0257,Causal,Q3
STUDY-0819,Causal,Q3
STUDY-0611,Causal,Q2
STUDY-0942,Causal,Q2
STUDY-0492,Descriptive,Q4
STUDY-0739,Causal,Q1
STUDY-0306,Causal,Q1
STUDY-0685,Predictive,Q4
STUDY-0112,Causal,Q1
STUDY-0613,Causal,Q4
STUDY-0522,Causal,None
STUDY-0792,Causal,None
STUDY-0248,Causal,Q3
STUDY-0189,Causal,Q1
STUDY-0701,Descriptive,None
STUDY-0835,Predictive,Q1
STUDY-0040,Causal,Q4
STUDY-0402,Descriptive,None
STUDY-0239,Predictive,Q1
STUDY-0977,Causal,Q2
STUDY-0429,Causal,Q2
STUDY-0589,Causal,Q4
STUDY-0721,Predictive,Q2
STUDY-0933,Causal,None
STUDY-0330,Causal,Q2
STUDY-0922,Causal,Q1
STUDY-0600,Causal,Q1
STUDY-0119,Causal,Q2
STUDY-0251,Causal,Q1
STUDY-0932,Causal,Q3
STUDY-0749,Descriptive,None
STUDY-0517,Causal,Q1
STUDY-0210,Descriptive,Q1
STUDY-0923,Causal,Q4
STUDY-0214,Causal,Q2
STUDY-0565,Causal,Q3
STUDY-0899,Causal,Q2
STUDY-0094,Causal,Q1
STUDY-0809,Causal,None
STUDY-0793,Causal,None
STUDY-0627,Predictive,Q2
STUDY-0126,Predictive,Q1
STUDY-0387,Descriptive,None
STUDY-0700,Causal,Q3
STUDY-0805,Causal,Q1
STUDY-0780,Causal,Q1
STUDY-0184,Causal,Q3
STUDY-0205,Causal,Q1
STUDY-0740,Causal,Q1
STUDY-0930,Causal,Q2
STUDY-0822,Predictive,None
STUDY-1026,Descriptive,Q1
STUDY-0649,Causal,Q2
STUDY-0258,Predictive,Q2
STUDY-0446,Predictive,Q2
STUDY-0133,Causal,None
STUDY-0542,Causal,Q2
STUDY-0337,Causal,None
STUDY-0702,Descriptive,Q3
STUDY-0541,Descriptive,Q1
STUDY-0840,Causal,Q2
STUDY-0447,Causal,None
STUDY-0634,Descriptive,Q3
STUDY-0037,Causal,None
STUDY-1021,Descriptive,Q4
STUDY-0268,Causal,Q2
STUDY-0943,Descriptive,None
STUDY-0760,Descriptive,None
STUDY-0549,Causal,Q2
STUDY-0064,Causal,Q4
STUDY-0952,Descriptive,Q4
STUDY-0471,Causal,None
STUDY-0135,Causal,Q2
STUDY-0963,Causal,Q3
STUDY-0892,Predictive,Q2
STUDY-0494,Causal,Q2
STUDY-0577,Causal,Q2
STUDY-0598,Causal,Q3
STUDY-0093,Causal,Q2
STUDY-0006,Causal,Q1
STUDY-0386,Predictive,None
STUDY-0698,Causal,Q2
STUDY-0603,Causal,None
STUDY-1001,Causal,None
STUDY-0423,Causal,Q3
STUDY-0086,Descriptive,Q4
STUDY-0207,Causal,Q4
STUDY-0810,Predictive,None
STUDY-0109,Causal,Q2
STUDY-1016,Descriptive,Q2
STUDY-0473,Descriptive,Q1
STUDY-0295,Causal,Q1
STUDY-0516,Causal,Q1
STUDY-0803,Descriptive,Q2
STUDY-0307,Causal,Q2
STUDY-0560,Descriptive,Q3
STUDY-0132,Causal,Q1
STUDY-0852,Causal,None
STUDY-0231,Causal,None
STUDY-0595,Causal,None
STUDY-0129,Predictive,None
STUDY-0834,Causal,Q4
STUDY-0865,Descriptive,None
STUDY-0339,Descriptive,Q4
STUDY-0773,Descriptive,None
STUDY-0744,Causal,Q2
STUDY-0475,Causal,Q2
STUDY-0853,Causal,Q2
STUDY-0403,Causal,Q1
STUDY-0628,Causal,Q2
STUDY-0653,Causal,Q2
STUDY-0005,Causal,Q3
STUDY-0297,Predictive,Q1
STUDY-0162,Causal,Q4
STUDY-0728,Causal,None
STUDY-0984,Predictive,Q2
STUDY-0590,Causal,Q2
STUDY-0440,Descriptive,None
STUDY-0450,Causal,Q1
STUDY-0416,Causal,None
STUDY-0557,Causal,Q3
STUDY-0373,Predictive,Q2
STUDY-0352,Causal,None
STUDY-0382,Predictive,Q1
STUDY-0468,Descriptive,Q3
STUDY-0715,Predictive,Q1
STUDY-0665,Causal,Q2
STUDY-0988,Causal,Q1
STUDY-0252,Causal,Q1
STUDY-0986,Causal,None
STUDY-0781,Causal,Q2
STUDY-0360,Causal,Q1
STUDY-0199,Predictive,Q3
STUDY-1003,Descriptive,Q3
STUDY-0062,Causal,Q2
STUDY-0525,Predictive,None
STUDY-0351,Predictive,None
STUDY-0630,Causal,Q3
STUDY-0477,Predictive,Q3
STUDY-0335,Causal,None
STUDY-0096,Causal,Q2
STUDY-0032,Predictive,Q2
STUDY-0778,Descriptive,Q1
STUDY-0878,Causal,Q2
STUDY-0864,Descriptive,Q4
STUDY-0902,Descriptive,Q3
STUDY-0659,Predictive,Q1
STUDY-0345,Descriptive,Q3
STUDY-0472,Descriptive,Q3
STUDY-0331,Causal,None
STUDY-0901,Predictive,Q2
STUDY-0476,Causal,Q1
STUDY-1010,Predictive,Q2
STUDY-1013,Causal,Q1
STUDY-0137,Predictive,None
STUDY-0194,Descriptive,Q4
STUDY-0736,Causal,Q3
STUDY-0312,Predictive,Q3
STUDY-0808,Predictive,None
STUDY-0647,Causal,Q3
STUDY-0978,Causal,Q3
STUDY-0188,Causal,Q4
STUDY-0940,Causal,Q2
STUDY-0936,Predictive,None
STUDY-0605,Causal,None
STUDY-0889,Predictive,Q3
STUDY-0084,Causal,Q1
STUDY-1024,Predictive,None
STUDY-0415,Causal,Q1
STUDY-0426,Causal,Q3
STUDY-0824,Descriptive,Q4
STUDY-0974,Descriptive,Q2
STUDY-0422,Predictive,Q3
STUDY-0679,Causal,Q1
STUDY-0115,Causal,None
STUDY-0764,Causal,None
STUDY-0931,Predictive,None
STUDY-0677,Causal,Q4
STUDY-0110,Predictive,None
STUDY-0280,Descriptive,Q2
STUDY-0434,Causal,Q2
STUDY-0237,Causal,Q2
STUDY-0825,Predictive,Q1
STUDY-0329,Causal,Q2
STUDY-0101,Predictive,Q3
STUDY-0561,Causal,Q2
STUDY-0130,Descriptive,Q2
STUDY-0083,Causal,Q2
STUDY-0633,Causal,None
STUDY-0876,Causal,None
STUDY-0669,Causal,None
STUDY-0504,Predictive,Q2
STUDY-0074,Descriptive,Q1
STUDY-0055,Descriptive,Q2
STUDY-0722,Descriptive,Q2
STUDY-0947,Descriptive,Q2
STUDY-0245,Descriptive,Q2
STUDY-0551,Predictive,None
STUDY-0379,Causal,Q2
STUDY-0887,Causal,Q1
STUDY-0695,Causal,Q4
STUDY-0762,Causal,Q3
STUDY-0823,Causal,None
STUDY-0536,Causal,None
STUDY-0910,Predictive,Q1
STUDY-0650,Causal,Q1
STUDY-0273,Causal,Q3
STUDY-0961,Causal,Q2
STUDY-0712,Predictive,Q1
STUDY-0609,Causal,Q3
STUDY-0976,Causal,None
STUDY-0282,Causal,Q3
STUDY-0867,Descriptive,Q3
STUDY-0794,Descriptive,Q1
STUDY-0031,Predictive,Q2
STUDY-0829,Causal,Q3
STUDY-0875,Descriptive,Q2
STUDY-0443,Causal,Q1
STUDY-0269,Causal,Q2
STUDY-0241,Causal,None
STUDY-0336,Causal,Q2
STUDY-0812,Causal,Q2
STUDY-0567,Causal,Q3
STUDY-0232,Descriptive,Q1
STUDY-0125,Predictive,Q2
STUDY-0648,Descriptive,None
STUDY-0656,Causal,None
STUDY-0185,Descriptive,None
STUDY-0991,Causal,Q3
STUDY-0065,Predictive,Q2
STUDY-0047,Descriptive,Q4
STUDY-0457,Predictive,Q1
STUDY-0186,Descriptive,Q2
STUDY-0713,Causal,Q1
STUDY-0710,Causal,None
STUDY-0520,Descriptive,None
STUDY-0156,Descriptive,None
STUDY-0944,Descriptive,None
STUDY-0305,Causal,None
STUDY-0676,Causal,None
STUDY-0906,Causal,None
STUDY-0883,Predictive,None
STUDY-0501,Causal,Q1
STUDY-0868,Causal,Q3
STUDY-0183,Causal,Q2
STUDY-0053,Descriptive,Q1
STUDY-0981,Causal,Q2
STUDY-0102,Predictive,Q2
STUDY-0596,Predictive,None
STUDY-0831,Causal,None
STUDY-0856,Predictive,Q1
STUDY-0519,Causal,Q4
STUDY-0017,Causal,Q1
STUDY-0621,Causal,None
STUDY-0143,Descriptive,Q3
STUDY-0644,Causal,None
STUDY-0441,Descriptive,Q4
STUDY-0030,Causal,Q2
STUDY-0807,Causal,Q1
STUDY-0371,Causal,None
STUDY-0911,Causal,Q3
STUDY-0430,Causal,Q3
STUDY-0968,Causal,Q2
STUDY-0919,Causal,None
STUDY-0460,Causal,Q1
STUDY-0617,Descriptive,Q1
STUDY-0847,Predictive,Q2
STUDY-0674,Causal,Q3
STUDY-0299,Causal,Q3
STUDY-0271,Predictive,Q3
STUDY-0580,Descriptive,Q2
STUDY-0425,Causal,Q1
STUDY-0982,Predictive,Q3
STUDY-0783,Causal,None
STUDY-0466,Causal,Q3
STUDY-0228,Predictive,Q1
STUDY-0708,Predictive,Q2
STUDY-0380,Causal,Q1
STUDY-0893,Predictive,Q2
STUDY-0196,Causal,Q2
STUDY-0437,Causal,Q4
STUDY-0566,Causal,None
STUDY-0928,Descriptive,Q4
STUDY-0099,Predictive,None
STUDY-0202,Causal,None
STUDY-0019,Causal,Q4
STUDY-0100,Causal,None
STUDY-0658,Causal,Q2
STUDY-0275,Predictive,Q3
STUDY-0401,Predictive,None
STUDY-0449,Predictive,None
STUDY-0161,Causal,Q4
STUDY-0320,Causal,Q3
STUDY-0927,Causal,Q1
STUDY-0905,Descriptive,None
