journal,n_papers,n_descriptive,n_predictive,n_causal,sjr_best_quartile,jcr_2022_quartile,jcr_note,scimago_open_access,is_in_doaj
,2,1,0,1,Q2,None,ESCI in 2022,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,1,0,0,Q1,Q3,,No,False
,1,0,0,1,Q3,None,JIF suppressed,Yes,False
PeerJ,8,2,1,5,Q1,Q2,,Yes,True
,1,0,0,1,Q3,Q4,,No,False
,2,0,2,0,Q1,Q1,,Yes,True
,1,0,0,1,Q2,Q3,,No,False
,1,1,0,0,Q1,Q1,,No,False
,2,0,0,2,Q1,Q2,,No,False
PloS one,9,3,1,5,Q1,Q2,,Yes,True
,2,0,0,2,Q2,Q3,,No,False
,1,1,0,0,Q4,Q4,,Yes,True
,1,0,0,1,Q2,Q4,,Yes,True
,2,1,0,1,Q3,Q2,,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,0,0,1,Q3,Q4,,Yes,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q1,None,ESCI in 2022,Yes,True
,1,0,0,1,Q2,Q4,,Yes,True
,1,0,0,1,Q2,Q3,,No,False
,2,0,1,1,Q1,Q2,,Yes,True
,1,1,0,0,Q1,Q2,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,1,0,0,Q3,Q4,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q1,Q3,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q2,Q3,,No,False
,1,0,0,1,Q2,Q2,,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,1,0,Q1,Q1,,No,False
,1,0,0,1,Q2,Q2,,No,False
,1,0,0,1,Q3,Q4,,No,False
,1,1,0,0,Q3,None,ESCI in 2022,No,False
,1,0,0,1,Q2,None,ESCI in 2022,Yes,True
,1,0,0,1,Q2,Q3,,Yes,True
,1,0,0,1,Q3,None,ESCI in 2022,Yes,True
Journal of healthcare engineering,7,0,5,2,Q2,None,Delisted from WoS,Yes,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,0,1,Q2,Q4,,No,False
,2,0,0,2,Q1,Q1,,Yes,True
,1,0,0,1,Q3,None,Not in JCR by ISSN or name,Yes,False
,1,0,0,1,Q1,Q1,,No,False
,1,1,0,0,Q1,Q3,,No,False
,1,0,1,0,Q1,Q3,,No,False
,1,0,0,1,Q2,Q2,,No,False
,1,0,0,1,Q2,Q2,,No,False
,1,1,0,0,Q1,Q1,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q1,Q1,,Yes,False
,1,0,1,0,Q1,Q1,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q3,None,ESCI in 2022,Yes,False
,1,0,0,1,Q1,Q4,,No,False
,3,1,0,2,Q2,Q3,,No,False
,2,0,0,2,Q1,Q1,,Yes,True
"Medicina (Kaunas, Lithuania)",5,0,1,4,Q2,Q3,,Yes,True
,1,0,1,0,Q2,Q2,,No,False
,1,0,0,1,Q2,Q3,,No,False
Nigerian journal of clinical practice,6,3,0,3,Q3,Q4,,No,False
,1,0,0,1,Q1,Q2,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,1,0,1,0,Q1,Q2,,Yes,True
,1,1,0,0,Q2,Q4,,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,0,0,1,Q1,Q2,,Yes,True
,2,0,0,2,Q1,Q1,,No,False
,1,0,0,1,Q1,None,ESCI in 2022,Yes,True
,1,0,0,1,Q1,Q2,,Yes,True
,2,0,0,2,Q1,Q2,,No,False
,1,0,1,0,Q1,Q1,,Yes,False
,1,0,1,0,Q3,Q4,,Yes,True
,1,1,0,0,Q2,Q3,,Yes,True
,1,1,0,0,Q2,Q3,,No,False
,1,1,0,0,Q2,Q2,,No,False
,1,1,0,0,Q1,Q1,,No,False
,1,0,0,1,Q2,None,ESCI in 2022,Yes,True
,1,0,0,1,Q1,Q3,,No,False
,1,1,0,0,Q1,Q1,,No,False
,1,0,0,1,Q1,Q2,,Yes,True
Computational intelligence and neuroscience,11,0,11,0,-,None,Delisted from WoS,Yes,False
,2,0,0,2,Q2,Q3,,Yes,True
,1,1,0,0,Q2,Q3,,No,False
,1,0,0,1,Q3,Q4,,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,0,1,Q1,Q1,,No,False
,3,0,3,0,Q1,Q2,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,2,0,0,2,Q3,None,ESCI in 2022,Yes,True
,1,0,0,1,Q1,Q1,,No,False
,1,1,0,0,Q1,Q4,,No,False
,1,1,0,0,Q2,Q3,,No,False
,1,0,1,0,Q1,Q2,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q2,None,ESCI in 2022,Yes,True
,1,0,1,0,Q2,Q2,,No,False
,1,1,0,0,Q3,None,ESCI in 2022,No,False
,1,0,0,1,Q2,Q3,,No,False
,1,0,0,1,Q1,Q3,,No,False
Frontiers in public health,15,3,2,10,Q1,Q1,,Yes,True
,3,1,0,2,Q4,Q4,,No,False
,1,0,1,0,Q2,Q2,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,0,0,1,Q3,None,ESCI in 2022,Yes,True
,2,1,0,1,Q3,None,ESCI in 2022,Yes,False
,2,0,2,0,Q2,Q2,,Yes,False
,1,0,1,0,Q1,Q1,,Yes,True
Medicine,5,1,1,3,Q3,Q3,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,0,0,1,Q2,Q2,,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,1,0,0,Q1,Q1,,Yes,False
,1,0,0,1,Q1,Q2,,No,False
Journal of infection and public health,6,1,2,3,Q1,Q1,,Yes,True
,1,0,0,1,Q3,None,Not in JCR by ISSN or name,No,False
,1,0,0,1,Q1,Q1,,No,False
,2,1,0,1,Q2,Q4,,No,False
,1,0,0,1,Q1,Q3,,No,False
,1,0,0,1,Q2,Q2,,No,False
,1,1,0,0,Q3,None,ESCI in 2022,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,1,0,Q1,Q1,,No,False
Saudi medical journal,10,3,2,5,Q3,Q3,,Yes,False
,1,0,0,1,Q2,Q2,,No,False
,1,1,0,0,Q1,Q1,,Yes,True
,1,1,0,0,Q2,Q4,,Yes,True
,3,2,1,0,Q3,None,ESCI in 2022,No,False
,1,0,1,0,Q1,Q2,,No,False
,1,0,0,1,Q1,None,ESCI in 2022,No,False
,1,0,0,1,Q2,Q3,,No,False
,1,0,1,0,Q2,Q3,,Yes,True
,1,1,0,0,Q1,Q3,,Yes,False
,1,0,0,1,Q3,None,ESCI in 2022,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,1,0,0,Q2,Q3,,No,False
,1,0,0,1,Q2,Q3,,No,False
,1,1,0,0,Q2,Q4,,No,False
,1,1,0,0,Q3,Q4,,No,False
International journal of environmental research and public health,29,6,0,23,Q2,None,Delisted from WoS,Yes,False
,1,0,1,0,Q2,Q3,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,1,1,0,0,Q1,Q1,,No,False
,3,1,0,2,Q1,Q1,,Yes,False
,1,0,0,1,Q1,Q3,,No,False
,1,0,1,0,Q1,Q3,,Yes,True
,1,1,0,0,Q2,Q4,,No,False
,1,0,0,1,Q2,Q3,,No,False
,1,0,0,1,Q1,Q2,,Yes,True
,1,0,1,0,Q2,Q2,,No,False
,1,1,0,0,Q1,Q1,,No,False
,2,1,0,1,Q1,Q3,,No,False
,1,0,1,0,Q1,None,ESCI in 2022,No,False
,1,0,0,1,Q2,Q3,,Yes,True
,1,0,0,1,Q3,None,ESCI in 2022,No,False
,1,0,0,1,Q3,Q3,,Yes,True
,2,1,0,1,Q3,None,Not in JCR by ISSN or name,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,0,1,0,Q1,Q2,,No,False
,2,1,0,1,Q1,Q3,,Yes,True
,1,0,0,1,Q1,Q1,,No,False
,1,0,1,0,Q1,Q2,,No,False
,1,0,0,1,Q2,Q3,,No,False
,1,0,1,0,Q2,Q2,,No,False
