rank_p0,rank_kappa,rank_dis_assessed,rank_move,rank_move_denom,variable,label,task,domain,n_both,n_applic_dispute,p0,p0_lo,p0_hi,dis_pct_assessed,kappa,kappa_lo_boot,kappa_hi_boot,kappa_n_free_marginal,AC1,q_used,modal_category,modal_share,PI_modal,BI_modal,worst_option,worst_p_pos,worst_option_n_pos
11,18,11,7,0,causal_conf_var_det,How confounding variables were selected,Causal,Confounding,224,5,0.509,0.442,0.576,50.218,0.254,0.172,0.331,,0.474,11,no adjustment for baseline and time-varying confounding was done,0.529,0.058,-0.067,based on directed acyclic graphs (dags)/subject matter expertise,0,8
12,8,12,-4,0,causal_diff_or_nondiff_out,Outcome misclassification differential or non-differential?,Causal,Measurement bias,224,5,0.536,0.469,0.598,47.598,0.056,-0.071,0.182,0.071,0.092,2,non-differential with respect to the exposure,0.576,0.152,0.08,differential with respect to the exposure,0.453,147
13,22,13,9,0,causal_base_conf_meth,Baseline confounding method(s) used,Causal,Confounding,224,5,0.562,0.5,0.629,44.978,0.38,0.289,0.462,,0.552,31,no adjustment for baseline confounding was done,0.424,-0.152,-0.089,restriction,0,25
14,19,15,5,1,causal_dep_or_indep_misc,Exposure vs outcome measurement bias: independent or dependent?,Causal,Measurement bias,224,5,0.634,0.571,0.697,37.991,0.268,0.141,0.394,0.268,0.269,2,independent,0.522,0.045,-0.045,dependent,0.617,148
14,21,15,7,1,causal_sampling,Sampling technique,Causal,Random error,224,5,0.634,0.567,0.692,37.991,0.323,0.211,0.431,0.451,0.498,3,non-random,0.623,0.246,0.004,random,0.453,58
16,12,17,-4,1,causal_base_sel,Baseline selection bias accounted for?,Causal,Selection bias,224,5,0.643,0.58,0.705,37.118,0.106,-0.022,0.238,0.464,0.554,3,no,0.734,0.469,0.058,yes,0.286,6
17,17,20,0,3,causal_diff_or_nondiff_exp,Exposure misclassification differential or non-differential?,Causal,Measurement bias,224,5,0.732,0.674,0.79,28.384,0.247,0.107,0.388,0.464,0.587,2,non-differential with respect to the outcome,0.772,0.545,0.089,differential with respect to the outcome,0.412,81
18,29,21,11,3,descriptive_sampling,Sampling technique,Descriptive,Random error,81,5,0.765,0.667,0.852,27.907,0.6,0.439,0.741,0.648,0.671,3,non-random,0.549,0.099,0.16,random,0.6,14
19,26,24,7,5,descriptive_base_sel,Baseline selection bias accounted for?,Descriptive,Selection bias,81,5,0.79,0.691,0.877,25.581,0.534,0.348,0.714,0.685,0.73,3,no,0.673,0.346,0.062,no baseline selection bias from investigator,0.706,33
20,24,25,4,5,descriptive_design,Study design,Descriptive,Study design,81,5,0.802,0.716,0.889,24.419,0.494,0.272,0.696,0.704,0.755,3,cross-sectional,0.747,0.494,-0.037,cohort,0.595,26
21,23,27,2,6,predictive_design,Study design,Predictive,Study design,74,2,0.811,0.716,0.892,21.053,0.47,0.232,0.681,0.622,0.707,2,diagnostic,0.77,0.541,-0.081,prognostic,0.588,24
22,28,26,6,4,descriptive_outcome_type,Nature of the outcome (objective or subjective),Descriptive,Measurement bias,81,5,0.815,0.728,0.889,23.256,0.551,0.353,0.743,0.63,0.685,2,objective,0.71,0.42,-0.037,subjective,0.681,31
23,27,28,4,5,causal_outcome_type,Nature of the outcome (objective or subjective),Causal,Measurement bias,224,5,0.83,0.781,0.879,18.777,0.548,0.408,0.664,0.661,0.729,2,objective,0.75,0.5,0.027,subjective,0.661,75
24,20,19,-4,-5,causal_sample_ach,Required sample size achieved?,Causal,Random error,69,16,0.855,0.768,0.928,30.588,0.294,-0.065,0.607,0.71,0.818,2,yes,0.884,0.768,-0.029,no,0.375,13
25,35,29,10,4,causal_design,Study design,Causal,Study design,224,5,0.871,0.826,0.911,14.847,0.809,0.745,0.869,0.849,0.854,7,cross-sectional,0.493,-0.013,-0.004,"quasi-experimental (including instrumental variables, difference-in-difference, regression discontinuity design, and interrupted time series)",0,8
26,31,18,5,-8,descriptive_sample_size,Sample-size calculation done?,Descriptive,Random error,48,18,0.875,0.771,0.958,36.364,0.745,0.535,0.915,0.75,0.757,2,no,0.583,0.167,0.083,yes,0.85,23
27,25,30,-2,3,causal_exposure_type,Nature of the exposure (objective or subjective),Causal,Measurement bias,224,5,0.884,0.839,0.924,13.537,0.503,0.329,0.662,0.768,0.849,2,objective,0.866,0.732,0.054,subjective,0.567,43
28,33,31,5,3,causal_follow,Follow-up present in the study?,Causal,Selection bias,224,5,0.893,0.853,0.933,12.664,0.767,0.674,0.848,0.786,0.802,2,no,0.643,0.286,0.027,yes,0.85,92
29,32,23,3,-6,causal_acc_sampl,Accounted for non-response etc. in the sample-size calculation?,Causal,Random error,69,16,0.899,0.826,0.957,27.059,0.764,0.579,0.915,0.797,0.822,2,no,0.688,0.377,0.043,yes,0.837,25
30,34,32,4,2,predictive_pop,Used data from Saudi Arabia?,Predictive,Saudi population,74,2,0.905,0.838,0.973,11.842,0.771,0.592,0.914,0.811,0.839,2,no,0.709,0.419,0.014,yes,0.837,25
31,7,33,-24,2,causal_time_verying,Time-varying effect estimated?,Causal,Confounding,224,5,0.906,0.866,0.942,11.354,0.038,-0.064,0.235,0.812,0.896,2,no,0.949,0.897,0.004,yes,0.087,22
32,36,34,4,2,descriptive_pop,Used data from Saudi Arabia?,Descriptive,Saudi population,81,5,0.951,0.901,0.988,10.465,0.879,0.742,0.971,0.901,0.917,2,yes,0.716,0.432,0,no,0.913,25
33,37,22,4,-11,causal_sample_size,Sample-size calculation done?,Causal,Random error,154,50,0.961,0.929,0.987,27.451,0.922,0.857,0.974,0.922,0.922,2,no,0.532,0.065,0.013,yes,0.958,75
34,1,35,-33,1,descriptive_out_bias_acc,Outcome measurement bias accounted for?,Descriptive,Measurement bias,81,5,0.963,0.914,1,9.302,-0.017,-0.038,0,0.926,0.962,2,no,0.981,0.963,-0.012,no,0.981,81
35,38,36,3,1,causal_pop,Used data from Saudi Arabia?,Causal,Saudi population,224,5,0.973,0.951,0.991,4.803,0.943,0.897,0.982,0.946,0.949,2,yes,0.616,0.232,-0.009,no,0.965,89
36,39,39,3,3,task,Study task (epidemiological paradigm),All,Study task,385,0,0.984,0.971,0.995,1.558,0.973,0.949,0.991,0.977,0.978,3,causal,0.588,0.177,-0.008,descriptive,0.97,86
37,2,37,-35,0,causal_exp_bias_acc,Exposure measurement bias accounted for?,Causal,Measurement bias,224,5,0.987,0.969,1,3.493,-0.006,-0.014,0,0.973,0.986,2,no,0.993,0.987,0.004,no,0.993,224
38,30,14,-8,-24,causal_comp_dis,Compared responders vs non-responders?,Causal,Selection bias,130,79,0.992,0.977,1,38.278,0.663,0,1,0.985,0.992,2,no,0.988,0.977,-0.008,no,0.996,129
39,3,38,-36,-1,causal_out_bias_acc,Outcome measurement bias accounted for?,Causal,Measurement bias,224,5,0.996,0.987,1,2.62,0,0,0,0.991,0.996,2,no,0.998,0.996,-0.004,no,0.998,224
40,40,40,0,0,recusal,Reviewer recused from the study?,All,Recusal,385,0,1,1,1,0,,,,,,1,"no, i do not wish to recuse myself.",1,1,0,"no, i do not wish to recuse myself.",1,385
