concept,label,domain,dom_ord,conc_ord,n_items,tasks,n_by_task,n_both,n_applic_dispute,n_agree,q_used,p0,p0_lo,p0_hi,dis_pct_assessed,kappa,kappa_lo_boot,kappa_hi_boot,kappa_n_free_marginal,AC1,modal_category,modal_share,PI_modal,BI_modal,any_multiselect,any_ordinal,rank_p0,below_min_n
diff_or_nondiff_out,Outcome misclassification differential or non-differential?,Measurement bias,7,16,1,C,C:224,224,5,120,2,0.536,0.469,0.603,47.598,0.056,-0.07,0.186,0.071,0.092,non-differential with respect to the exposure,0.576,0.152,0.08,FALSE,FALSE,11,FALSE
base_conf_meth,Baseline confounding method(s) used,Confounding,8,23,1,C,C:224,224,5,126,31,0.562,0.496,0.625,44.978,0.38,0.297,0.462,NA,0.552,no adjustment for baseline confounding was done,0.424,-0.152,-0.089,TRUE,FALSE,12,FALSE
hand_miss_outcom,Method for handling missing outcome data,Missing data,9,28,2,D+C,D:2 C:6,8,51,5,4,0.625,0.25,0.875,91.525,0.429,-0.018,1,0.5,0.525,no,0.5,0,0,FALSE,FALSE,13,TRUE
dep_or_indep_misc,Exposure vs outcome measurement bias: independent or dependent?,Measurement bias,7,22,1,C,C:224,224,5,142,2,0.634,0.567,0.701,37.991,0.268,0.132,0.39,0.268,0.269,independent,0.522,0.045,-0.045,FALSE,FALSE,14,FALSE
sampling,Sampling technique,Random error,5,5,2,D+C,D:81 C:224,305,10,204,3,0.669,0.616,0.721,35.238,0.404,0.314,0.493,0.503,0.542,non-random,0.603,0.207,0.046,FALSE,FALSE,15,FALSE
base_sel,Baseline selection bias accounted for?,Selection bias,6,9,2,D+C,D:81 C:224,305,10,208,3,0.682,0.63,0.734,33.968,0.232,0.119,0.346,0.523,0.599,no,0.718,0.436,0.059,FALSE,FALSE,16,FALSE
diff_or_nondiff_exp,Exposure misclassification differential or non-differential?,Measurement bias,7,20,1,C,C:224,224,5,164,2,0.732,0.679,0.786,28.384,0.247,0.11,0.389,0.464,0.587,non-differential with respect to the outcome,0.772,0.545,0.089,FALSE,FALSE,17,FALSE
outcome_type,Nature of the outcome (objective or subjective),Measurement bias,7,14,2,D+C,D:81 C:224,305,10,252,2,0.826,0.78,0.869,20,0.549,0.438,0.646,0.652,0.717,objective,0.739,0.479,0.01,FALSE,FALSE,18,FALSE
design,Study design,Study design,3,3,3,D+P+C,D:81 P:74 C:224,379,12,320,10,0.844,0.81,0.881,18.159,0.79,0.741,0.835,0.827,0.83,cross-sectional,0.451,-0.098,-0.011,FALSE,FALSE,19,FALSE
acc_sampl,Accounted for non-response etc. in the sample-size calculation?,Random error,5,7,2,D+C,D:17 C:69,86,25,74,2,0.86,0.779,0.93,33.333,0.67,0.48,0.82,0.721,0.759,no,0.698,0.395,0.047,FALSE,FALSE,20,FALSE
sample_ach,Required sample size achieved?,Random error,5,8,2,D+C,D:17 C:69,86,25,76,2,0.884,0.814,0.953,31.532,0.479,0.167,0.728,0.767,0.85,yes,0.872,0.744,-0.023,FALSE,FALSE,21,FALSE
exposure_type,Nature of the exposure (objective or subjective),Measurement bias,7,18,1,C,C:224,224,5,198,2,0.884,0.844,0.924,13.537,0.503,0.32,0.662,0.768,0.849,objective,0.866,0.732,0.054,FALSE,FALSE,22,FALSE
follow,Follow-up present in the study?,Selection bias,6,11,1,C,C:224,224,5,200,2,0.893,0.853,0.933,12.664,0.767,0.67,0.848,0.786,0.802,no,0.643,0.286,0.027,FALSE,FALSE,23,FALSE
time_verying,Time-varying effect estimated?,Confounding,8,24,1,C,C:224,224,5,203,2,0.906,0.871,0.942,11.354,0.038,-0.063,0.237,0.812,0.896,no,0.949,0.897,0.004,FALSE,FALSE,24,FALSE
sample_size,Sample-size calculation done?,Random error,5,6,2,D+C,D:48 C:154,202,68,190,2,0.941,0.906,0.97,29.63,0.88,0.811,0.94,0.881,0.882,no,0.545,0.089,0.03,FALSE,FALSE,25,FALSE
pop,Used data from Saudi Arabia?,Saudi population,4,4,3,D+P+C,D:81 P:74 C:224,379,12,362,2,0.955,0.931,0.976,7.417,0.908,0.864,0.947,0.91,0.912,yes,0.574,0.148,-0.008,FALSE,FALSE,26,FALSE
task,Study task (epidemiological paradigm),Study task,2,2,1,A,A:385,385,0,379,3,0.984,0.971,0.995,1.558,0.973,0.948,0.991,0.977,0.978,causal,0.588,0.177,-0.008,FALSE,FALSE,27,FALSE
exp_bias_acc,Exposure measurement bias accounted for?,Measurement bias,7,21,1,C,C:224,224,5,221,2,0.987,0.969,1,3.493,-0.006,-0.014,0,0.973,0.986,no,0.993,0.987,0.004,FALSE,FALSE,28,FALSE
out_bias_acc,Outcome measurement bias accounted for?,Measurement bias,7,17,2,D+C,D:81 C:224,305,10,301,2,0.987,0.974,0.997,4.444,-0.005,-0.012,0,0.974,0.987,no,0.993,0.987,-0.007,FALSE,FALSE,29,FALSE
comp_dis,Compared responders vs non-responders?,Selection bias,6,10,1,C,C:130,130,79,129,2,0.992,0.977,1,38.278,0.663,0,1,0.985,0.992,no,0.988,0.977,-0.008,FALSE,FALSE,30,FALSE
ltfu_acc,Loss-to-follow-up bias accounted for?,Selection bias,6,13,1,C,C:1,1,11,1,1,1,NA,NA,91.667,NA,NA,NA,NA,NA,no,1,1,0,FALSE,FALSE,31,TRUE
recusal,Reviewer recused from the study?,Recusal,1,1,1,A,A:385,385,0,385,1,1,1,1,0,NA,NA,NA,NA,NA,"no, i do not wish to recuse myself.",1,1,0,FALSE,FALSE,31,FALSE
