PMID,funding_3level,funding_level_firstpass,three_level_basis,confidence,basis,declared_no_funding,self_funded,oa_agreement_only,statement_source,apc_only,funding_3level_machine,funding_6level_machine,adjudicated,changed
STUDY-0250,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0104,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0537,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0658,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,international,0,0
STUDY-0737,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0220,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0994,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0499,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0350,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0354,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0839,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0750,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0259,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0707,non_funded,declared_none,from international,low,funder(s) named in the paper's own funding statement; statement ALSO carries a no-funding phrase -- check,1,0,0,acknowledgements,0,funded,international,1,1
STUDY-0431,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0821,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-1022,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0145,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0385,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0397,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0532,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,1,0
STUDY-0284,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0663,funded,both,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,1,1
STUDY-0970,funded,international,from international,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),1,0,0,funding,0,funded,international,0,0
STUDY-0304,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0487,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0362,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,international,0,0
STUDY-0123,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0731,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0322,non_funded,declared_none,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,1,1
STUDY-0159,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0419,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0333,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0046,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0355,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0845,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0555,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0945,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,1,0
STUDY-0365,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0023,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0817,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0170,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0442,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0007,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0026,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0048,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0326,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0563,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0144,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0045,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,1,1
STUDY-0041,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0418,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0234,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0275,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0788,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0521,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0346,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,1,funded,local,1,1
STUDY-0192,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0049,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0012,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0171,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0141,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0671,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0924,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0182,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0597,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0149,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0256,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0830,funded,local,from local,medium,no funding section; funder named in the acknowledgement,0,0,0,,0,funded,local,0,0
STUDY-0157,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0972,funded,international,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,1,funding,0,not_stated,needs_review,1,1
STUDY-0766,funded,local,from local,medium,no funding section; funder named in the acknowledgement,0,0,0,,0,funded,local,0,0
STUDY-0552,funded,local,from local,medium,no funding section; funder named in the acknowledgement,0,0,0,,0,funded,local,0,0
STUDY-0257,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0819,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0611,non_funded,declared_none,from international,low,funder(s) named in the paper's own funding statement; statement ALSO carries a no-funding phrase -- check,1,0,0,funding,0,funded,international,1,1
STUDY-0942,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,1,0
STUDY-0492,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,1,0,funding,0,non_funded,declared_none,0,0
STUDY-0739,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,1,funding,0,funded,international,0,0
STUDY-0306,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0685,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0112,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0613,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0522,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,1,funded,local,1,1
STUDY-0792,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0248,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0189,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0701,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,1,1
STUDY-0835,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0040,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0402,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,1,0
STUDY-0239,funded,both,from both,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,both,0,0
STUDY-0977,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0429,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0589,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0721,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0933,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0330,funded,international,from international,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,international,0,0
STUDY-0922,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0600,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0119,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0251,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0932,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0749,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0517,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0210,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0923,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,financial_support,0,funded,local,0,0
STUDY-0214,non_funded,declared_none,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,1,1
STUDY-0565,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0899,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0094,funded,international,from international,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,international,0,0
STUDY-0809,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0793,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0627,not_stated,not_stated,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,funding,0,not_stated,needs_review,1,0
STUDY-0126,funded,international,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,1,1
STUDY-0387,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0700,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0805,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0401,funded,international,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,1,1
STUDY-0780,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0184,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0205,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0740,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0930,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0822,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-1026,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,1,funded,local,1,1
STUDY-0649,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0258,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0446,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,1,funded,local,1,1
STUDY-0133,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0542,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0337,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0702,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0541,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0840,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0447,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0634,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0037,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-1021,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0268,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,1,funded,local,1,1
STUDY-0449,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0943,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0760,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0549,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0161,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0064,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0952,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0471,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0135,not_stated,not_stated,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,1,1
STUDY-0963,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0892,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0494,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0577,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0598,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0093,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0006,non_funded,declared_none,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,1,1
STUDY-0386,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0698,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0603,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-1001,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0423,not_stated,not_stated,from international,high,funder(s) named in the paper's own funding statement,0,0,1,acknowledgements,1,funded,international,1,1
STUDY-0086,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0207,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0810,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0109,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,1,0
STUDY-1016,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0473,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0295,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0516,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0803,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0307,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,source_of_support,0,funded,international,0,0
STUDY-0560,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0132,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0852,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0231,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0595,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0129,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0834,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0865,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0339,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0773,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,source_of_support,0,non_funded,declared_none,1,0
STUDY-0744,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0475,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0853,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,international,0,0
STUDY-0403,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0628,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0653,funded,international,from international,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,international,0,0
STUDY-0005,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0297,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0162,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,financial_support,0,funded,local,0,0
STUDY-0728,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0984,funded,local,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,1,1
STUDY-0590,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0440,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0450,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0416,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0557,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0373,funded,both,from both,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,both,0,0
STUDY-0352,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,1,0,funding,0,non_funded,declared_none,0,0
STUDY-0382,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0468,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0715,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0665,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
