PMID,Study_Type,first_author_saudi,last_author_saudi,corresponding_author_saudi,pct_saudi_ge50,causal_acc_sampl,causal_base_conf_meth,causal_base_sel,causal_comp_dis,causal_conf_var_det,causal_dep_or_indep_misc,causal_design,causal_diff_or_nondiff_exp,causal_diff_or_nondiff_out,causal_err_disc,causal_exp_bias_acc,causal_exposure_type,causal_follow,causal_hand_miss_exposure,causal_hand_miss_outcom,causal_ltfu_acc,causal_ltfu_bias,causal_miss_exposure,causal_miss_outcome,causal_out_bias_acc,causal_outcome_type,causal_pop,causal_sample_ach,causal_sample_size,causal_sampling,causal_time_verying,causal_tv_conf_meth,causal_val_exposure,causal_val_outcome,descriptive_acc_sampl,descriptive_base_sel,descriptive_confl_task,descriptive_design,descriptive_err_disc,descriptive_hand_miss_outcom,descriptive_miss_outcome,descriptive_out_bias_acc,descriptive_outcome_type,descriptive_pop,descriptive_sample_ach,descriptive_sample_size,descriptive_sampling,descriptive_val_outcome,predictive_design,predictive_pop,recusal,task
STUDY-0837,Predictive,1,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0445,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-0172,Causal,1,1,1,>=50%,No,Regression,No,No,Based on previous literature,Independent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Subjective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0177,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Cross-sectional,Measurement bias,,No,No,Objective,Yes,No,Yes,Random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0393,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Ecological,Measurement bias;Missing data,No,Yes,No,Objective,Yes,,,Whole population was invited (no sample was taken),"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0843,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-0774,Causal,1,0,1,>=50%,Yes,Randomization,No,No,,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,,,No,No,Not reported or unknown,No,Objective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0880,Causal,1,1,1,>=50%,,Regression,No baseline selection bias from investigator,,Based on previous literature,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,"Random error, Selection bias;Confounding bias",No,Objective,Yes,,,,Not reported or unknown,Not reported or unknown,Not reported or unknown,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0914,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,Yes,Cohort,Measurement bias,,No,No,Objective,No,,,Whole population was invited (no sample was taken),"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0250,Predictive,0,1,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0104,Causal,1,1,1,>=50%,No,Randomization;Stratification,No baseline selection bias from investigator,,Based on none of the above,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error,No,Objective,Yes,,,,No,No,No,No,Objective,Yes,Yes,Yes,Random,No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0537,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cohort,Random error,,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0658,Causal,0,0,0,<50%,,Regression,No,No,Based on none of the above,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,Yes,No,No,,Not reported or unknown,Yes,Yes,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0737,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,Yes,Cohort,Selection bias;Missing data,,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0220,Causal,1,0,1,>=50%,,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0994,Causal,0,0,0,<50%,,Stratification;Matching;Regression;Inverse probability of treatment weighting,Yes,No,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,No,,,,,No,No,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0499,Causal,1,0,1,>=50%,Yes,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias,No,Objective,Yes,,No,No,Yes,No,Yes,No,Subjective,Yes,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0350,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,Selection bias;Measurement bias,,Not reported or unknown,No,Objective,No,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0354,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Cross-sectional,None of the above,,No,No,Objective,Yes,No,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0839,Causal,1,0,1,<50%,,No adjustment for baseline confounding was done,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Independent,Pre/post,Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,No,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0750,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Pre/post,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,,,No,No,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0259,Causal,0,1,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias,No,Objective,Yes,,,,Not reported or unknown,Not reported or unknown,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0707,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0431,Causal,0,0,0,<50%,,Randomization,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,Yes,,,No,Yes,No,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0821,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cohort,Selection bias;Measurement bias;Missing data,,Not reported or unknown,No,Objective,Yes,,skipped,Whole population was invited (no sample was taken),"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-1022,Causal,1,1,0,>=50%,,Randomization,Yes,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Differential with respect to the exposure,Random error,No,Objective,Yes,,,,No,No,No,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0145,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cross-sectional,None of the above,,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0385,Causal,1,1,1,>=50%,No,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,,,No,No,No,No,Objective,Yes,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0397,Descriptive,0,0,0,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Cohort,Selection bias;Measurement bias;Missing data,No,Yes,No,Objective,Yes,,No,Non-random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0532,Causal,0,0,0,<50%,Yes,Randomization,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,No,No,Yes,No,Yes,No,Objective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0284,Descriptive,1,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,Selection bias;Measurement bias,,No,No,Subjective,Yes,,No,Non-random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0663,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-0970,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Cross-sectional,Selection bias,No,Yes,No,Subjective,Yes,,No,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0304,Causal,1,1,1,>=50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Selection bias;Measurement bias,No,Objective,No,,,,,No,No,No,Objective,Yes,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0487,Descriptive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,Selection bias,,No,No,Subjective,No,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0362,Causal,0,0,0,<50%,,Stratification;Regression;Inverse probability of treatment weighting,Yes,No,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,No,No,,,,Yes,No,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0123,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0731,Descriptive,1,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Cohort,Measurement bias,,No,No,Objective,No,,No,Non-random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0322,Causal,0,0,0,<50%,No,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,,,,,No,No,No,Subjective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0159,Causal,0,0,0,<50%,,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,,,Not reported or unknown,Not reported or unknown,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0419,Causal,1,1,1,>=50%,,Regression,No baseline selection bias from investigator,,Based on statistical criteria,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0333,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Cross-sectional,Random error;Selection bias,No,Yes,No,Objective,Yes,,,Whole population was invited (no sample was taken),"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0046,Causal,1,1,1,>=50%,,Restriction;Regression,No,No,Based on previous literature;Based on statistical criteria,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Selection bias;Confounding bias,No,Objective,Yes,,,,Not reported or unknown,Not reported or unknown,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0355,Causal,0,0,0,<50%,,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Differential with respect to the exposure,Random error,No,Objective,Yes,,,,No,No,No,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0845,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Random error;Confounding bias,No,Objective,No,,,,,Not reported or unknown,No,No,Objective,Yes,,No,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0555,Causal,0,0,0,<50%,,Regression,Yes,Yes,Based on statistical criteria,Dependent,Cohort (including clinical trials without randomization),Differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias,No,Subjective,Yes,"Yes, multiple imputation","Yes, multiple imputation",Yes,Yes,Yes,Yes,No,Subjective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0945,Causal,0,0,0,<50%,,Stratification;Regression,No,No,Based on previous literature,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,No,No,No,,,Yes,Yes,No,Objective,No,,,Whole population was invited (no sample was taken),No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0365,Causal,0,0,0,<50%,,Regression,No,No,Based on none of the above,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias;Confounding bias,No,Objective,Yes,,,,Not reported or unknown,No,No,No,Objective,No,,No,Non-random,No,skipped,No,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0023,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,No,No,Subjective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0817,Causal,0,0,1,>=50%,Yes,Regression,No,No,Based on statistical criteria,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias,No,Objective,No,,,,,No,No,No,Subjective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0170,Causal,1,1,1,>=50%,,Regression,No,Yes,Based on none of the above,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Missing data,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,Yes,,No,Random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0442,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,No,,,,,No,No,No,Objective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0007,Predictive,1,0,1,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0026,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,No,No,Objective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0048,Causal,1,1,1,>=50%,,Regression,No baseline selection bias from investigator,,Based on none of the above,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,Yes,,,skipped,Not reported or unknown,No,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0326,Causal,0,0,0,<50%,,Regression,No baseline selection bias from investigator,,Based on none of the above,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,No,No,Objective,No,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
